taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NHMSYS0000309445,family,Brachytheciaceae,Schimp.,,,Native,,,,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021597992,species,Leucobryum glaucum,(Hedw.) Ångstr.,sensu Smith (2004),Large White-moss,Native,terrestrial/freshwater,Leucobryum,Leucobryaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036485,species,Grimmia hartmanii,Schimp.,,Hartman's Grimmia,Native,,Grimmia,Grimmiaceae,Grimmiales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0020959446,order,Hedwigiales,,,,Native,,,,,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309368,species,Aongstroemia longipes,"(Sommerf.) Bruch, Schimp. & W.Guembel",,Sprig-moss,Native,,Aongstroemia,Aongstroemiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021571773,species,Pseudohygrohypnum eugyrium,(Schimp.) Kanda,,Western Brook-moss,Native,terrestrial,Pseudohygrohypnum,Pylaisiaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310514,species,Pseudotaxiphyllum elegans,(Brid.) Z.Iwats.,,Elegant Silk-moss,Native,,Pseudotaxiphyllum,Plagiotheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021616601,species,Brachythecium albicans,(Hedw.) Schimp.,,Whitish Feather-moss,Native,terrestrial,Brachythecium,Brachytheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310012,species,Hamatocaulis vernicosus,(Mitt.) Hedenaes,,Varnished Hook-moss,Native,freshwater,Hamatocaulis,Calliergonaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309827,species,Entosthodon fascicularis,(Hedw.) Muell.Hal.,,Hasselquist's Hyssop,Native,,Entosthodon,Funariaceae,Funariales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036217,species,Dicranoweisia cirrata,(Hedw.) Lindb. ex Milde,,Common Pincushion,Native,,Dicranoweisia,Rhabdoweisiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036267,species,Fissidens viridulus,(Sw.) Wahlenb.,,Green Pocket-moss,Native,freshwater,Fissidens,Fissidentaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036664,species,Aulacomnium turgidum,(Wahlenb.) Schwaegr.,,Mountain Groove-moss,Native,,Aulacomnium,Aulacomniaceae,Aulacomniales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310667,species,Sphagnum fimbriatum,Wilson,,Fringed Bog-moss,Native,freshwater,Sphagnum,Sphagnaceae,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
NHMSYS0021616396,genus,Ditrichum,Timm ex Hampe,,,Native,terrestrial/freshwater,,Ditrichaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000065837,order,Bryales,,,,Native,,,,,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036155,species,Archidium alternifolium,(Hedw.) Schimp.,,Clay Earth-moss,Native,freshwater,Archidium,Archidiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021601162,family,Micromitriaceae,Smyth ex Goffinet & Budke,,,Native,freshwater,,,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309618,species,Cheilothela chloropus,(Brid.) Lindb.,,Rabbit Moss,Native,,Cheilothela,Ditrichaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0100005382,species,Sanionia uncinata,(Hedw.) Loeske,,Sickle-leaved Hook-moss,Native,freshwater,Sanionia,Scorpidiaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036392,species,Gymnostomum aeruginosum,Sm.,,Verdigris Tufa-moss,Native,,Gymnostomum,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036122,species,Andreaea nivalis,Hook.,,Snow Rock-moss,Native,freshwater,Andreaea,Andreaeaceae,Andreaeales,Andreaeopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309526,family,Buxbaumiaceae,Schwägr.,,,Native,,,,Buxbaumiales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310101,species,Isothecium alopecuroides,(Dubois) Isov.,,Larger Mouse-tail Moss,Native,freshwater,Isothecium,Lembophyllaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310002,genus,Gymnostomum,Nees & Hornsch.,,,Native,,,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021595827,species,Physcomitrium patens,(Hedw.) Mitt.,,Spreading Earth-moss,Native,terrestrial,Physcomitrium,Funariaceae,Funariales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036091,species,Sphagnum auriculatum,Schimp.,,Cow-horn Bog-moss,Native,freshwater,Sphagnum,Sphagnaceae,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036234,species,Dicranum elongatum,Schleich. ex Schwaegr.,,Dense Fork-moss,Native,,Dicranum,Dicranaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021195504,species,Polytrichastrum sexangulare,(Brid.) G.L.Sm.,,Northern Haircap,Native,freshwater,Polytrichastrum,Polytrichaceae,Polytrichales,Polytrichopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036718,species,Ulota drummondii,(Hook. & Grev.) Brid.,,Drummond's Pincushion,Native,,Ulota,Orthotrichaceae,Orthotrichales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021239397,variety,Syntrichia ruralis var. epilosa,(Venturi) J.J.Amann,,,Native,terrestrial,Syntrichia,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021600222,genus,Chionoloma,"(Mitt.) M.Alonso, M.J.Cano & J.A.Jiménez",,,Native,terrestrial,,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310027,genus,Helodium,Warnst.,,,Native,,,Thuidiaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036560,species,Pohlia annotina,(Hedw.) Lindb.,,Pale-fruited Thread-moss,Native,freshwater,Pohlia,Mniaceae,Bryales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310581,species,Zygodon rupestris,Schimp. ex Lor.,,Park Yoke-moss,Native,,Zygodon,Orthotrichaceae,Orthotrichales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036293,species,Encalypta ciliata,Hedw.,,Fringed Extinguisher-moss,Native,,Encalypta,Encalyptaceae,Encalyptales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021239440,species sensu lato,Sphagnum magellanicum,Brid.,sensu lato,Magellanic Bog-moss,Native,freshwater,Sphagnum,Sphagnaceae,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310766,species,Tortella densa,(Lor. & Molendo) Crundw. & Nyholm,,Clint Crisp-moss,Native,,Tortella,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0100005162,species,Rhynchostegiella litorea,(De Not.) Limpr.,,Scabrous Feather-moss,Native,,Rhynchostegiella,Brachytheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036078,species,Sphagnum skyense,Flatberg,,Skye bog-moss,Native,freshwater,Sphagnum,Sphagnaceae,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310719,species,Syntrichia latifolia,(Bruch ex Hartm.) Huebener,,Water Screw-moss,Native,freshwater,Syntrichia,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310590,species,Schistidium agassizii,Sull. & Lesq.,,Water Grimmia,Native,freshwater,Schistidium,Grimmiaceae,Grimmiales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310162,genus,Leptodontium,(Muell.Hal.) Hampe ex Lindb.,,,Native,terrestrial,,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310704,species,Sphagnum warnstorfii,Russow,,Warnstorf's Bog-moss,Native,freshwater,Sphagnum,Sphagnaceae,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
NHMSYS0021194584,species,Brachytheciastrum trachypodium,(Brid.) Ignatov & Huttunen,,Lawers Feather-moss,Native,,Brachytheciastrum,Brachytheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021598027,species,Physcomitrium readeri,Müll.Hal.,,,Native,terrestrial,Physcomitrium,Funariaceae,Funariales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310714,genus,Stegonia,Venturi,,,Native,,,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021601152,family,Saelaniaceae,,,,Native,terrestrial,,,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0020959447,family,Hylocomiaceae,,,,Native,,,,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0100004097,species,Molendoa warburgii,(Crundw. & M.O.Hill) R.H.Zander,,Warburg's Moss,Native,freshwater,Molendoa,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310568,species,Rhizomnium pseudopunctatum,(Bruch & Schimp.) T.J.Kop.,,Felted Thyme-moss,Native,freshwater,Rhizomnium,Mniaceae,Bryales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309718,genus,Ctenidium,(Schimp.) Mitt.,,,Native,freshwater,,Myuriaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310659,species,Sphagnum balticum,(Russow) C.E.O.Jensen,,Baltic Bog-moss,Native,freshwater,Sphagnum,Sphagnaceae,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
NHMSYS0021600307,species,Weissia wimmerana,(Sendtn.) Bruch & Schimp.,,,Native,terrestrial,Weissia,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309878,species,Fissidens rufulus,"Bruch, Schimp. & W.Guembel",,Beck Pocket-moss,Native,freshwater,Fissidens,Fissidentaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310576,species,Zygodon conoideus,(Dicks.) Hook. & Taylor,,Lesser Yoke-moss,Native,,Zygodon,Orthotrichaceae,Orthotrichales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000065714,order,Andreaeales,,,,Native,,,,,Andreaeopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310827,species,Warnstorfia fluitans,(Hedw.) Loeske,,Floating Hook-moss,Native,freshwater,Warnstorfia,Calliergonaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310674,species,Sphagnum inundatum,Russow,,Lesser Cow-horn Bog-moss,Native,freshwater,Sphagnum,Sphagnaceae,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
