"DDb matched name (id)"	"DDb matched name (full)"	"DDb matched name (qualified name)"	"DDb matched name (taxon name)"	"DDb matched name (brc id)"	"TVK of matched name"	"DDb accepted name (full)"	"Brc id of DDb accepted name"	"taxon errors/warnings"	"speciestoSubmit"
"2cd4p9h.543"	"Festuca pratensis x Lolium perenne = X Festulolium loliaceum (Huds.) P.Fourn."	"Festuca pratensis x Lolium perenne = X Festulolium loliaceum"	"Festuca pratensis x Lolium perenne = X Festulolium loliaceum"	"Vas_815"	"NBNSYS0000161679"	"Schedonorus pratensis x Lolium perenne = X Schedolium loliaceum (Huds.) Holub"	"Vas_815"		"Festuca pratensis x Lolium perenne"
"2cd4p9h.26a"	"Vaccinium myrtillus x vitis-idaea = V. x intermedium Ruthe"	"Vaccinium myrtillus x vitis-idaea = V. x intermedium"	"Vaccinium myrtillus x vitis-idaea = V. x intermedium"	"Vas_2135"	"NHMSYS0001754563"		"Vas_2135"		"Vaccinium myrtillus x vitis-idaea"
