"Supplied Name","guid","scientificName","family","kingdom"
"Pertusaria chiodectonoides","NBNSYS0000019384","Pertusaria chiodectonoides","Pertusariaceae","Fungi"
"Gyalidea hyalinescens var. hyalinescens","BMSSYS0000045950","Gyalidea hyalinescens var. hyalinescens","Gomphillaceae","Fungi"
"Verrucaria ceuthocarpa","NHMSYS0001501548","Verrucaria ceuthocarpa","Verrucariaceae","Fungi"
"Buellia sequax","BMSSYS0000002985","Buellia sequax","Caliciaceae","Fungi"
"Clauzadea immersa","NBNSYS0000018675","Clauzadea immersa","Lecideaceae","Fungi"
"Polychidium muscicola","NBNSYS0000018953","Polychidium muscicola","Placynthiaceae","Fungi"
"Peltigera didactyla","NHMSYS0001492055","Peltigera didactyla","Peltigeraceae","Fungi"
"Fuscidea recensa","NHMSYS0001482518","Fuscidea recensa","Fuscideaceae","Fungi"
"Ephebe lanata","NBNSYS0000018479","Ephebe lanata","Lichinaceae","Fungi"
"Brianaria tuberculata","BMSSYS0000043177","Brianaria tuberculata","Psoraceae","Fungi"
"Ramonia nigra","NBNSYS0000039741","Ramonia nigra","Gyalectaceae","Fungi"
"Agonimia allobata","NBNSYS0000020618","Agonimia allobata","Verrucariaceae","Fungi"
"Endococcus protoblasteniae","BMSSYS0000598512","Endococcus protoblasteniae",,"Fungi"
"Fuscidea cyathoides var. cyathoides","NHMSYS0001482505","Fuscidea cyathoides var. cyathoides","Fuscideaceae","Fungi"
"Absconditella trivialis","NHMSYS0001472742","Absconditella trivialis","Stictidaceae","Fungi"
"Parmelinopsis minarum","NHMSYS0001491907","Parmelinopsis minarum","Parmeliaceae","Fungi"
"Brianaria lutulata","BMSSYS0000043175","Brianaria lutulata","Psoraceae","Fungi"
"Ochrolechia laevigata","NHMSYS0020990648","Ochrolechia laevigata","Ochrolechiaceae","Fungi"
"Protoparmelia ochrococca","NBNSYS0000018700","Protoparmelia ochrococca","Parmeliaceae","Fungi"
"Amygdalaria pelobotryon","NBNSYS0000018172","Amygdalaria pelobotryon","Lecideaceae","Fungi"
"Micarea submilliaria","BMSSYS0000011225","Micarea submilliaria","Pilocarpaceae","Fungi"
"Porina rivalis","BMSSYS0000050016","Porina rivalis","Porinaceae","Fungi"
"Pertusaria oculata","NBNSYS0000019404","Pertusaria oculata","Pertusariaceae","Fungi"
"Caloplaca arnoldii subsp. oblitterata","NHMSYS0020989880","Caloplaca arnoldii subsp. oblitterata","Teloschistaceae","Fungi"
"Stereocaulon nanodes","NBNSYS0000019060","Stereocaulon nanodes","Stereocaulaceae","Fungi"
"Lecania coeruleorubella","NBNSYS0000039643","Lecania coeruleorubella","Ramalinaceae","Fungi"
"Lecanora orosthea","NBNSYS0000018701","Lecanora orosthea","Lecanoraceae","Fungi"
"Umbilicaria nylanderiana","NBNSYS0000019128","Umbilicaria nylanderiana","Umbilicariaceae","Fungi"
"Opegrapha cesareensis","NBNSYS0000019202","Opegrapha cesareensis","Roccellaceae","Fungi"
"Phaeophyscia orbicularis","NHMSYS0001493019","Phaeophyscia orbicularis","Physciaceae","Fungi"
"Xanthoria candelaria s. lat.","BMSSYS0000290075","Xanthoria candelaria s. lat.","Teloschistaceae","Fungi"
"Lepraria elobata","BMSSYS0000010284","Lepraria elobata","Stereocaulaceae","Fungi"
"Lambiella insularis","BMSSYS0000046914","Lambiella insularis","Trapeliaceae","Fungi"
"Ramalina calicaris","NBNSYS0000018984","Ramalina calicaris","Ramalinaceae","Fungi"
"Caloplaca verruculifera","NBNSYS0000020565","Caloplaca verruculifera","Teloschistaceae","Fungi"
"Caloplaca obliterans","NBNSYS0000020549","Caloplaca obliterans","Teloschistaceae","Fungi"
"Leptogium hibernicum","NBNSYS0000018778","Leptogium hibernicum","Collemataceae","Fungi"
"Umbilicaria crustulosa","NBNSYS0000019122","Umbilicaria crustulosa","Umbilicariaceae","Fungi"
"Pertusaria excludens","BMSSYS0000598526","Lepra excludens",,"Fungi"
"Verrucaria murina","NHMSYS0000364502","Verrucaria murina","Verrucariaceae","Fungi"
"Cetrelia cetrarioides","BMSSYS0000003593","Cetrelia cetrarioides","Parmeliaceae","Fungi"
"Peltigera praetextata","NHMSYS0001492066","Peltigera praetextata","Peltigeraceae","Fungi"
"Arthonia lapidicola","NHMSYS0021576548","Bryostigma lapidicola","Arthoniaceae","Fungi"
"Anisomeridium viridescens","BMSSYS0000001475","Anisomeridium viridescens","Monoblastiaceae","Fungi"
"Micarea hypoviolascens","NHMSYS0020039028","Micarea hypoviolascens","Pilocarpaceae","Fungi"
"Trapeliopsis percrenata","NBNSYS0000019115","Trapeliopsis percrenata","Trapeliaceae","Fungi"
"Rhizocarpon lavatum","NHMSYS0001496278","Rhizocarpon lavatum","Rhizocarpaceae","Fungi"
"Buellia erubescens","NBNSYS0000018273","Buellia erubescens","Caliciaceae","Fungi"
"Caloplaca saxicola","NBNSYS0000020556","Caloplaca saxicola","Teloschistaceae","Fungi"
"Thelocarpon coccosporum","NHMSYS0020536237","Thelocarpon coccosporum","Thelocarpaceae","Fungi"
"Caloplaca monacensis","NHMSYS0020989897","Caloplaca monacensis","Teloschistaceae","Fungi"
"Rhizocarpon oederi","NHMSYS0001496284","Rhizocarpon oederi","Rhizocarpaceae","Fungi"
"Buellia asterella","NHMSYS0001476310","Buellia asterella","Caliciaceae","Fungi"
"Adelolecia pilati","NBNSYS0000018706","Adelolecia pilati","Ramalinaceae","Fungi"
"Rinodina mniaraeiza","BMSSYS0000534176","Rinodina mniaraeiza","Physciaceae","Fungi"
"Thelocarpon impressellum","NHMSYS0001499649","Thelocarpon impressellum","Thelocarpaceae","Fungi"
"Porpidia irrigua","BMSSYS0000050025","Porpidia irrigua","Lecideaceae","Fungi"
"Verrucaria ochrostoma","NHMSYS0001501668","Verrucaria ochrostoma","Verrucariaceae","Fungi"
"Cladonia bacillaris","NHMSYS0001477599","Cladonia bacillaris","Cladoniaceae","Fungi"
"Calvitimela armeniaca","NHMSYS0001476701","Calvitimela armeniaca","Lecanoraceae","Fungi"
"Parmelina pastillifera","NBNSYS0000153255","Parmelina pastillifera","Parmeliaceae","Fungi"
"Bellemerea alpina","NBNSYS0000039825","Bellemerea alpina","Lecideaceae","Fungi"
