"DDb matched name (id)"	"DDb matched name (full)"	"DDb matched name (qualified name)"	"DDb matched name (taxon name)"	"DDb matched name (brc id)"	"TVK of matched name"	"DDb accepted name (full)"	"Brc id of DDb accepted name"	"taxon errors/warnings"	"species"	"BRC"
								"Taxon name not matched in DDb, (parsing error: Unparsed taxon name fragment: \'(x Festulolium' (code 429))"	"Festuca pratensis x Lolium perenne (x Festulolium"	"920815"
								"Taxon name not matched in DDb"	"Acer campestre (c)"	"9203"
								"Taxon name not matched in DDb"	"Acer campestre (g)"	"9203"
								"Taxon name not matched in DDb"	"Acer pseudoplatanus (c)"	"9205"
								"Taxon name not matched in DDb"	"Acer pseudoplatanus (g)"	"9205"
								"Taxon name not matched in DDb"	"Allium ampeloprasum babingtonii"	"92066"
								"Taxon name not matched in DDb"	"Alnus glutinosa (c)"	"92077"
								"Taxon name not matched in DDb"	"Alnus glutinosa (g)"	"92077"
								"Taxon name not matched in DDb"	"Aster tripolium (rayed)"	"920204"
								"Taxon name not matched in DDb"	"Aster tripolium (unrayed)"	"920204"
								"Taxon name not matched in DDb"	"Betula pendula (c)"	"920239"
								"Taxon name not matched in DDb"	"Betula pendula (g)"	"920239"
								"Taxon name not matched in DDb"	"Betula pubescens (c)"	"920240"
								"Taxon name not matched in DDb"	"Betula pubescens (g)"	"920240"
								"Taxon name not matched in DDb"	"Betula pubescens x pendula (c)"	"9202301"
								"Taxon name not matched in DDb"	"Betula pubescens x pendula (g)"	"9202301"
								"Taxon name not matched in DDb"	"Betula pubescens x pendula (s)"	"9202301"
								"Taxon name not matched in DDb"	"Betula seedling/sp"	"9204445"
								"Taxon name not matched in DDb"	"Brassica oleracea (cultivated)"	"920253"
								"Taxon name not matched in DDb"	"Carpinus betulus (s)"	"920428"
								"Taxon name not matched in DDb"	"Castanea sativa (s)"	"920432"
								"Taxon name not matched in DDb"	"Corylus avellana (g)"	"920557"
								"Taxon name not matched in DDb"	"Crataegus monogyna (g)"	"920569"
								"Taxon name not matched in DDb"	"Cytisus scoparius (g)"	"9201822"
								"Taxon name not matched in DDb"	"Fagus sylvatica (c)"	"920810"
								"Taxon name not matched in DDb"	"Fagus sylvatica (g)"	"920810"
								"Taxon name not matched in DDb"	"Festuca ovina/rubra (vegetative)"	"9204916"
								"Taxon name not matched in DDb"	"Fraxinus excelsior (c)"	"920841"
								"Taxon name not matched in DDb"	"Fraxinus excelsior (g)"	"920841"
								"Taxon name not matched in DDb"	"Fraxinus excelsior (s)"	"920841"
								"Taxon name not matched in DDb"	"Hedera helix (g)"	"920952"
								"Taxon name not matched in DDb"	"Hieracium 'indeterminate'"	"9202560"
								"Taxon name not matched in DDb"	"Hieracium pilosella group"	"9205157"
								"Taxon name not matched in DDb"	"Ilex aquifolium (c)"	"9201023"
								"Taxon name not matched in DDb"	"Ilex aquifolium (g)"	"9201023"
								"Taxon name not matched in DDb"	"Juncus gerardi"	"9201069"
								"Taxon name not matched in DDb"	"Larix sp.(c)"	"9204442"
								"Taxon name not matched in DDb"	"Ligustrum vulgare (g)"	"9201144"
								"Taxon name not matched in DDb"	"Lonicera periclymenum (g)"	"9201188"
								"Taxon name not matched in DDb"	"Malus sylvestris (c)"	"9201230"
								"Taxon name not matched in DDb"	"Picea abies (c)"	"9201470"
								"Taxon name not matched in DDb"	"Picea sitchensis (c)"	"9202401"
								"Taxon name not matched in DDb"	"Pinus nigra (c)"	"9201482"
								"Taxon name not matched in DDb"	"Pinus sylvestris (c)"	"9201484"
								"Taxon name not matched in DDb"	"Pinus sylvestris (g)"	"9201484"
								"Taxon name not matched in DDb"	"Potamogeton 'hybrids'"	"9204551"
								"Taxon name not matched in DDb"	"Prunus avium (c)"	"9201611"
								"Taxon name not matched in DDb"	"Pseudotsuga menziesii (c)"	"9201618"
								"Taxon name not matched in DDb"	"Quercus petraea (c)"	"9201638"
								"Taxon name not matched in DDb"	"Quercus petraea (g)"	"9201638"
								"Taxon name not matched in DDb"	"Quercus petraea x robur (g)"	"9201639"
								"Taxon name not matched in DDb"	"Quercus petraea x robur (s)"	"9201639"
								"Taxon name not matched in DDb"	"Quercus robur (c)"	"9201640"
								"Taxon name not matched in DDb"	"Quercus robur (g)"	"9201640"
								"Taxon name not matched in DDb"	"Quercus robur x petraea (c)"	"9201639"
								"Taxon name not matched in DDb"	"Quercus seedling/sp"	"9204446"
								"Taxon name not matched in DDb"	"Ribes rubrum (g)"	"9201696"
								"Taxon name not matched in DDb"	"Rosa canina (s)"	"9201708"
								"Taxon name not matched in DDb"	"Salix atrocinerea (g)"	"9201786"
								"Taxon name not matched in DDb"	"Salix caprea (c)"	"9201788"
								"Taxon name not matched in DDb"	"Salix cinerea (c)"	"9201789"
								"Taxon name not matched in DDb"	"Salix cinerea (g)"	"9201789"
								"Taxon name not matched in DDb"	"Salix fragilis (s)"	"9201793"
								"Taxon name not matched in DDb"	"Salix pentandra (s)"	"9201799"
								"Taxon name not matched in DDb"	"Salix repens agg."	"9201802"
								"Taxon name not matched in DDb"	"Salix viminalis (s)"	"9201805"
								"Taxon name not matched in DDb"	"Solanum sarachoides"	"9201946"
								"Taxon name not matched in DDb"	"Sorbus aucuparia (c)"	"9201960"
								"Taxon name not matched in DDb"	"Sorbus aucuparia (g)"	"9201960"
								"Taxon name not matched in DDb"	"Taxus baccata (c)"	"9202039"
