"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Mentha scotica R.A.Graham"	"0920001285"	"2cd4p9h.7mm3ag"	"2cd4p9h.7mm3ag"	"Mentha scotica R.A.Graham"	"Mentha scotica"		"Mentha scotica"				
"Thlaspi perfoliatum L."	"0920002059"	"2cd4p9h.7mm3bn"	"2cd4p9h.p89"	"Microthlaspi perfoliatum (L.) F.K.Mey."	"Microthlaspi perfoliatum"		"Thlaspi perfoliatum"				
"Narcissus pseudonarcissus subsp. pallidiflorus (Pugsley) A.Fern."	"0920005478.2"	"2cd4p9h.7mm3fb"	"2cd4p9h.3hks0s"	"Narcissus macrolobus (Jord.) Pugsley"	"Narcissus macrolobus"		"Narcissus pseudonarcissus subsp. pallidiflorus"				
"Narcissus poeticus subsp. radiiflorus (Salisb.) Baker"	"0920005477"	"2cd4p9h.7mm3fr"	"2cd4p9h.v09"	"Narcissus radiiflorus Salisb."	"Narcissus radiiflorus"		"Narcissus poeticus subsp. radiiflorus"				
"Stipa neesiana Trin. & Rupr."	"0920007603"	"2cd4p9h.7mm3ga"	"2cd4p9h.ayk"	"Nassella neesiana (Trin. & Rupr.) Barkworth"	"Nassella neesiana"		"Stipa neesiana"				
"Nasturtium microphyllum (Boenn.) Rchb."	"0920001346"	"2cd4p9h.7mm3gg"	"2cd4p9h.7mm3gg"	"Nasturtium microphyllum (Boenn.) Rchb."	"Nasturtium microphyllum"		"Nasturtium microphyllum"				
"Rorippa microphylla (Boenn.) Hyl. ex Á.Löve & D.Löve"	"0920001346"	"2cd4p9h.7mm3gg"	"2cd4p9h.ca8"	"Nasturtium microphyllum (Boenn.) Rchb."	"Nasturtium microphyllum"		"Rorippa microphylla"				
"Omalotheca norvegica (Gunnerus) Sch.Bip. & F.W.Schultz"	"0920000938"	"2cd4p9h.7mm3w3"	"2cd4p9h.7mm3w3"	"Omalotheca norvegica (Gunnerus) Sch.Bip. & F.W.Schultz"	"Omalotheca norvegica"		"Omalotheca norvegica"				
"Gnaphalium norvegicum Gunnerus"	"0920000938"	"2cd4p9h.7mm3w3"	"2cd4p9h.15f"	"Omalotheca norvegica (Gunnerus) Sch.Bip. & F.W.Schultz"	"Omalotheca norvegica"		"Gnaphalium norvegicum"				
"Omalotheca supina (L.) DC."	"0920000939"	"2cd4p9h.7mm3w5"	"2cd4p9h.7mm3w5"	"Omalotheca supina (L.) DC."	"Omalotheca supina"		"Omalotheca supina"				
"Gnaphalium supinum L."	"0920000939"	"2cd4p9h.7mm3w5"	"2cd4p9h.fbd"	"Omalotheca supina (L.) DC."	"Omalotheca supina"		"Gnaphalium supinum"				
"Omalotheca sylvatica (L.) Sch.Bip. & F.W.Schultz"	"0920000940"	"2cd4p9h.7mm3w7"	"2cd4p9h.7mm3w7"	"Omalotheca sylvatica (L.) Sch.Bip. & F.W.Schultz"	"Omalotheca sylvatica"		"Omalotheca sylvatica"				
"Gnaphalium sylvaticum L."	"0920000940"	"2cd4p9h.7mm3w7"	"2cd4p9h.yns"	"Omalotheca sylvatica (L.) Sch.Bip. & F.W.Schultz"	"Omalotheca sylvatica"		"Gnaphalium sylvaticum"				
"Aceras anthropophorum x Orchis simia = X Orchiaceras bergonii (De Nant.) E.G.Camus"	"0920004350"	"2cd4p9h.7mm3ks"	"2cd4p9h.a6q"	"Orchis simia x anthropophora = O. x bergonii De Nant."	"Orchis simia x anthropophora = O. x bergonii"		"Aceras anthropophorum x Orchis simia = X Orchiaceras bergonii"				
"Meconopsis cambrica (L.) Vig."	"0920001246"	"2cd4p9h.7mm3rb"	"2cd4p9h.yrr"	"Papaver cambricum L."	"Papaver cambricum"		"Meconopsis cambrica"				
"Petasites fragrans (Vill.) C.Presl"	"0920001446"	"2cd4p9h.7mm3sk"	"2cd4p9h.ccr"	"Petasites pyrenaicus (L.) G.López"	"Petasites pyrenaicus"		"Petasites fragrans"				
"Sedum elegans Lej."	"0920001879"	"2cd4p9h.7mm3sy"	"2cd4p9h.7mm5e0"	"Petrosedum forsterianum (Sm.) Grulich"	"Petrosedum forsterianum"		"Sedum elegans"				
"Sedum forsterianum subsp. elegans (Lej.) E.F.Warb."	"0920001879.1"	"2cd4p9h.7mm3sy"	"2cd4p9h.4dm"	"Petrosedum forsterianum (Sm.) Grulich"	"Petrosedum forsterianum"		"Sedum forsterianum subsp. elegans"				
"Sedum forsterianum Sm."	"0920001879"	"2cd4p9h.7mm3sy"	"2cd4p9h.fq4"	"Petrosedum forsterianum (Sm.) Grulich"	"Petrosedum forsterianum"		"Sedum forsterianum"				
"Sedum rupestre L."	"0920001881"	"2cd4p9h.7mm3sq"	"2cd4p9h.m3n"	"Petrosedum rupestre (L.) P.V.Heath"	"Petrosedum rupestre"		"Sedum rupestre"				
"Sedum reflexum L."	"0920001881"	"2cd4p9h.7mm3sq"	"2cd4p9h.6p0yqa"	"Petrosedum rupestre (L.) P.V.Heath"	"Petrosedum rupestre"		"Sedum reflexum"				
"Populus gileadensis auct., non Rouleau"	"0920001552"	"2cd4p9h.7mm4eb"	"2cd4p9h.7mm4eb"	"Populus gileadensis auct., non Rouleau"	"Populus gileadensis"		"Populus gileadensis"				
"Poterium sanguisorba L."	"0920001599"	"2cd4p9h.7mm4fs"	"2cd4p9h.7mm4fs"	"Poterium sanguisorba L."	"Poterium sanguisorba"		"Poterium sanguisorba"				
"Sanguisorba minor Scop."	"0920005442"	"2cd4p9h.7mm4fs"	"2cd4p9h.gsa"	"Poterium sanguisorba L."	"Poterium sanguisorba"		"Sanguisorba minor"				
"Pseudognaphalium undulatum (L.) Hilliard & B.L.Burtt"	"0920000942"	"2cd4p9h.7mm4gx"	"2cd4p9h.7mm4gx"	"Pseudognaphalium undulatum (L.) Hilliard & B.L.Burtt"	"Pseudognaphalium undulatum"		"Pseudognaphalium undulatum"				
"Gnaphalium undulatum L."	"0920000942"	"2cd4p9h.7mm4gx"	"2cd4p9h.b8e"	"Pseudognaphalium undulatum (L.) Hilliard & B.L.Burtt"	"Pseudognaphalium undulatum"		"Gnaphalium undulatum"				
"Fallopia x bohemica (Chrtek & Chrtková) J.P.Bailey"	"0920004336"	"2cd4p9h.7mm4k1"	"2cd4p9h.6n4"	"Reynoutria japonica x sachalinensis = R. x bohemica Chrtek & Chrtková"	"Reynoutria japonica x sachalinensis = R. x bohemica"		"Fallopia x bohemica"				
"Reynoutria japonica x sachalinensis = R. x bohemica Chrtek & Chrtková"	"0920004336"	"2cd4p9h.7mm4k1"	"2cd4p9h.7mm4k1"	"Reynoutria japonica x sachalinensis = R. x bohemica Chrtek & Chrtková"	"Reynoutria japonica x sachalinensis = R. x bohemica"		"Reynoutria japonica x sachalinensis = R. x bohemica"				
"Polygonum cuspidatum Siebold & Zucc."	"0920001528"	"2cd4p9h.7mm4kb"	"2cd4p9h.7mm469"	"Reynoutria japonica Houtt."	"Reynoutria japonica"		"Polygonum cuspidatum"				
"Reynoutria japonica Houtt."	"0920001528"	"2cd4p9h.7mm4kb"	"2cd4p9h.7mm4kb"	"Reynoutria japonica Houtt."	"Reynoutria japonica"		"Reynoutria japonica"				
"Fallopia japonica (Houtt.) Ronse Decr."	"0920001528"	"2cd4p9h.7mm4kb"	"2cd4p9h.vr0"	"Reynoutria japonica Houtt."	"Reynoutria japonica"		"Fallopia japonica"				
"Polygonum sachalinense F.Schmidt"	"0920001541"	"2cd4p9h.7mm4kd"	"2cd4p9h.7mm47v"	"Reynoutria sachalinensis (F.Schmidt) Nakai"	"Reynoutria sachalinensis"		"Polygonum sachalinense"				
"Reynoutria sachalinensis (F.Schmidt) Nakai"	"0920001541"	"2cd4p9h.7mm4kd"	"2cd4p9h.7mm4kd"	"Reynoutria sachalinensis (F.Schmidt) Nakai"	"Reynoutria sachalinensis"		"Reynoutria sachalinensis"				
"Fallopia sachalinensis (F.Schmidt) Ronse Decr."	"0920001541"	"2cd4p9h.7mm4kd"	"2cd4p9h.1m4"	"Reynoutria sachalinensis (F.Schmidt) Nakai"	"Reynoutria sachalinensis"		"Fallopia sachalinensis"				
"Rheum palmatum x rhaponticum = R. x hybridum Murray"	"0920002615"	"2cd4p9h.7mm4kx"	"2cd4p9h.mbr"	"Rheum x rhabarbarum L."	"Rheum x rhabarbarum"		"Rheum palmatum x rhaponticum = R. x hybridum"				
"Rheum x cultorum Thorsrud & Reis., nom. nud."	"0920002615"	"2cd4p9h.7mm4kx"	"2cd4p9h.7mm4kw"	"Rheum x rhabarbarum L."	"Rheum x rhabarbarum"		"Rheum x cultorum"				
"Rhodiola rosea L."	"0920001882"	"2cd4p9h.7mm4xg"	"2cd4p9h.7mm4xg"	"Rhodiola rosea L."	"Rhodiola rosea"		"Rhodiola rosea"				
"Sedum rosea (L.) Scop."	"0920001882"	"2cd4p9h.7mm4xg"	"2cd4p9h.w1w"	"Rhodiola rosea L."	"Rhodiola rosea"		"Sedum rosea"				
"Ledum groenlandicum Oeder"	"0920001121"	"2cd4p9h.7mm4xk"	"2cd4p9h.7mm315"	"Rhododendron groenlandicum (Oeder) Kron & Judd"	"Rhododendron groenlandicum"		"Ledum groenlandicum"				
"Ledum palustre subsp. groenlandicum (Oeder) Hultén"	"0920001121"	"2cd4p9h.7mm4xk"	"2cd4p9h.fe7"	"Rhododendron groenlandicum (Oeder) Kron & Judd"	"Rhododendron groenlandicum"		"Ledum palustre subsp. groenlandicum"				
"Ledum palustre L."	"0920007428"	"2cd4p9h.7mm4xk"	"2cd4p9h.h6d"	"Rhododendron groenlandicum (Oeder) Kron & Judd"	"Rhododendron groenlandicum"		"Ledum palustre"				
"Papaver argemone L."	"0920001424"	"2cd4p9h.7mm4m9"	"2cd4p9h.cbw"	"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García"	"Roemeria argemone"		"Papaver argemone"				
"Roemeria hybrida (L.) DC."	"0920001699"	"2cd4p9h.7mm4md"	"2cd4p9h.7mm4md"	"Roemeria hybrida (L.) DC."	"Roemeria hybrida"		"Roemeria hybrida"				
"Rosa corymbifera x tomentosa = R. x aberrans Wolley-Dod"	"0920002730"	"2cd4p9h.7mm4mw"	"2cd4p9h.7mm4mw"	"Rosa corymbifera x tomentosa = R. x aberrans Wolley-Dod"	"Rosa corymbifera x tomentosa = R. x aberrans"		"Rosa corymbifera x tomentosa = R. x aberrans"				
"Rosa arvensis x corymbifera = R. x deseglisei Boreau"	"0920002712"	"2cd4p9h.7mm4ne"	"2cd4p9h.7mm4ne"	"Rosa arvensis x corymbifera = R. x deseglisei Boreau"	"Rosa arvensis x corymbifera = R. x deseglisei"		"Rosa arvensis x corymbifera = R. x deseglisei"				
"Rosa x subcollina (Christ) Vuk."	"0920007888"	"2cd4p9h.7mm4yd"	"2cd4p9h.7mm4yd"	"Rosa x subcollina (Christ) Vuk."	"Rosa x subcollina"		"Rosa x subcollina"				
"Rosa corymbifera Borkh."	"0920001709.3"	"2cd4p9h.7mm4p0"	"2cd4p9h.7mm4p0"	"Rosa corymbifera Borkh."	"Rosa corymbifera"		"Rosa corymbifera"				
"Rosa canina group 'Pubescentes'"	"0920001709.3"	"2cd4p9h.7mm4p0"	"2cd4p9h.1r2"	"Rosa corymbifera Borkh."	"Rosa corymbifera"		"Rosa canina group 'Pubescentes'"				
"Rosa afzeliana Fr., nom. illegit."	"0920002554"	"2cd4p9h.7mm4pq"	"2cd4p9h.7mm4yr"	"Rosa vosagiaca (N.H.F.Desp.) Déségl."	"Rosa vosagiaca"		"Rosa afzeliana"				
"Rosa caesia subsp. glauca (Nyman) G.G.Graham & Primavesi nom. inval."	"0920002554"	"2cd4p9h.7mm4pq"	"2cd4p9h.1r1kxb"	"Rosa vosagiaca (N.H.F.Desp.) Déségl."	"Rosa vosagiaca"		"Rosa caesia subsp. glauca"				
"Rosa vosagiaca (N.H.F.Desp.) Déségl."	"0920002554"	"2cd4p9h.7mm4pq"	"2cd4p9h.7mm4pq"	"Rosa vosagiaca (N.H.F.Desp.) Déségl."	"Rosa vosagiaca"		"Rosa vosagiaca"				
