"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Myosotis discolor Pers."	"2cd4p9h.5dz"	"2cd4p9h.5dz"	"Myosotis discolor Pers."	5	5	"Myosotis discolor"				
"Myosurus minimus L."	"2cd4p9h.5e5"	"2cd4p9h.5e5"	"Myosurus minimus L."	6	6	"Myosurus minimus"				
"Myrica gale L."	"2cd4p9h.5eb"	"2cd4p9h.5eb"	"Myrica gale L."	3	3	"Myrica gale"				
"Myriophyllum spicatum L."	"2cd4p9h.5ee"	"2cd4p9h.5ee"	"Myriophyllum spicatum L."	7	7	"Myriophyllum spicatum"				
"Myrrhis odorata (L.) Scop."	"2cd4p9h.5ek"	"2cd4p9h.5ek"	"Myrrhis odorata (L.) Scop."	7	7	"Myrrhis odorata"				
"Odontites vernus (Bellardi) Dumort."	"2cd4p9h.5fa"	"2cd4p9h.5fa"	"Odontites vernus (Bellardi) Dumort."	6	6	"Odontites vernus"				
"Ophrys apifera Huds."	"2cd4p9h.5fd"	"2cd4p9h.5fd"	"Ophrys apifera Huds."	8	8	"Ophrys apifera"				
"Oxalis articulata Savigny"	"2cd4p9h.5fg"	"2cd4p9h.5fg"	"Oxalis articulata Savigny"	4	4	"Oxalis articulata"				
"Oxytropis campestris (L.) DC."	"2cd4p9h.5fm"	"2cd4p9h.5fm"	"Oxytropis campestris (L.) DC."	8	8	"Oxytropis campestris"				
"Parapholis strigosa (Dumort.) C.E.Hubb."	"2cd4p9h.5fs"	"2cd4p9h.5fs"	"Parapholis strigosa (Dumort.) C.E.Hubb."	7	7	"Parapholis strigosa"				
"Parentucellia viscosa (L.) Caruel"	"2cd4p9h.5g3"	"2cd4p9h.5g3"	"Parentucellia viscosa (L.) Caruel"	7	7	"Parentucellia viscosa"				
"Phalaris arundinacea L."	"2cd4p9h.5gc"	"2cd4p9h.5gc"	"Phalaris arundinacea L."	7	7	"Phalaris arundinacea"				
"Phyteuma orbiculare L."	"2cd4p9h.5gv"	"2cd4p9h.5gv"	"Phyteuma orbiculare L."	8	8	"Phyteuma orbiculare"				
"Platanthera chlorantha (Custer) Rchb."	"2cd4p9h.5gr"	"2cd4p9h.5gr"	"Platanthera chlorantha (Custer) Rchb."	7	7	"Platanthera chlorantha"				
"Poa alpina L."	"2cd4p9h.5gz"	"2cd4p9h.5gz"	"Poa alpina L."	7	7	"Poa alpina"				
"Polycarpon tetraphyllum (L.) L."	"2cd4p9h.5h5"	"2cd4p9h.5h5"	"Polycarpon tetraphyllum (L.) L."	6	6	"Polycarpon tetraphyllum"				
"Persicaria hydropiper (L.) Delarbre"	"2cd4p9h.5hh"	"2cd4p9h.5hh"	"Persicaria hydropiper (L.) Delarbre"	6	6	"Persicaria hydropiper"				
"Persicaria lapathifolia (L.) Delarbre"	"2cd4p9h.5hk"	"2cd4p9h.5hk"	"Persicaria lapathifolia (L.) Delarbre"	7	7	"Persicaria lapathifolia"				
"Polygonum maritimum L."	"2cd4p9h.5hq"	"2cd4p9h.5hq"	"Polygonum maritimum L."	5	5	"Polygonum maritimum"				
"Persicaria minor (Huds.) Opiz"	"2cd4p9h.5ht"	"2cd4p9h.5ht"	"Persicaria minor (Huds.) Opiz"	5	5	"Persicaria minor"				
"Potamogeton obtusifolius Mert. & W.D.J.Koch"	"2cd4p9h.5v4"	"2cd4p9h.5v4"	"Potamogeton obtusifolius Mert. & W.D.J.Koch"	6	6	"Potamogeton obtusifolius"				
"Potentilla erecta (L.) Raeusch."	"2cd4p9h.5v7"	"2cd4p9h.5v7"	"Potentilla erecta (L.) Raeusch."	3	3	"Potentilla erecta"				
"Primula vulgaris Huds."	"2cd4p9h.5vd"	"2cd4p9h.5vd"	"Primula vulgaris Huds."	6	6	"Primula vulgaris"				
"Prunus padus L."	"2cd4p9h.5vp"	"2cd4p9h.5vp"	"Prunus padus L."	6	6	"Prunus padus"				
