"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Dianthus armeria L."	"rare"	"2cd4p9h.vdb"	"2cd4p9h.vdb"	"Dianthus armeria L."	"Dianthus armeria"		"Dianthus armeria"				
"Draba incana L."	"scarce"	"2cd4p9h.vdn"	"2cd4p9h.vdn"	"Draba incana L."	"Draba incana"		"Draba incana"				
"Lamiastrum galeobdolon subsp. montanum (Pers.) Ehrend. & Polatschek"	"rare"	"2cd4p9h.vha"	"2cd4p9h.vha"	"Lamiastrum galeobdolon subsp. montanum (Pers.) Ehrend. & Polatschek"	"Lamiastrum galeobdolon subsp. montanum"		"Lamiastrum galeobdolon subsp. montanum"				
"Geranium pratense L."	"rare"	"2cd4p9h.vvv"	"2cd4p9h.vvv"	"Geranium pratense L."	"Geranium pratense"		"Geranium pratense"				
"Geranium purpureum Vill."	"scarce"	"2cd4p9h.vvx"	"2cd4p9h.vvx"	"Geranium purpureum Vill."	"Geranium purpureum"		"Geranium purpureum"				
"Hottonia palustris L."	"rare"	"2cd4p9h.vwh"	"2cd4p9h.vwh"	"Hottonia palustris L."	"Hottonia palustris"		"Hottonia palustris"				
"Lithospermum officinale L."	"scarce"	"2cd4p9h.vxz"	"2cd4p9h.vxz"	"Lithospermum officinale L."	"Lithospermum officinale"		"Lithospermum officinale"				
"Neotinea maculata (Desf.) Stearn"	"scarce"	"2cd4p9h.vyf"	"2cd4p9h.vyf"	"Neotinea maculata (Desf.) Stearn"	"Neotinea maculata"		"Neotinea maculata"				
"Pyrola minor L."	"scarce"	"2cd4p9h.vs5"	"2cd4p9h.vs5"	"Pyrola minor L."	"Pyrola minor"		"Pyrola minor"				
"Salvia verbenaca L."	"rare"	"2cd4p9h.w0h"	"2cd4p9h.w0h"	"Salvia verbenaca L."	"Salvia verbenaca"		"Salvia verbenaca"				
