"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Asplenium trichomanes L."		"2cd4p9h.aq"	"2cd4p9h.aq"	"Asplenium trichomanes L."	"Asplenium trichomanes"	
"Asplenium trichomanes subsp. pachyrachis (H.Christ) Lovis & Reichst."		"2cd4p9h.b1"	"2cd4p9h.b1"	"Asplenium trichomanes subsp. pachyrachis (H.Christ) Lovis & Reichst."	"Asplenium trichomanes subsp. pachyrachis"	
"Asplenium viride Huds."		"2cd4p9h.b4"	"2cd4p9h.b4"	"Asplenium viride Huds."	"Asplenium viride"	
"Dryopteris aemula (Aiton) Kuntze"		"2cd4p9h.ba"	"2cd4p9h.ba"	"Dryopteris aemula (Aiton) Kuntze"	"Dryopteris aemula"	
"Hymenophyllum wilsonii Hook."		"2cd4p9h.bg"	"2cd4p9h.bg"	"Hymenophyllum wilsonii Hook."	"Hymenophyllum wilsonii"	
"Isoetes echinospora Durieu"		"2cd4p9h.bm"	"2cd4p9h.bm"	"Isoetes echinospora Durieu"	"Isoetes echinospora"	
"Selaginella selaginoides (L.) P.Beauv."		"2cd4p9h.bs"	"2cd4p9h.bs"	"Selaginella selaginoides (L.) P.Beauv."	"Selaginella selaginoides"	
"Pteris cretica L."		"2cd4p9h.cf"	"2cd4p9h.cf"	"Pteris cretica L."	"Pteris cretica"	
"Polypodium cambricum x vulgare = P. x font-queri Rothm."		"2cd4p9h.cr"	"2cd4p9h.cr"	"Polypodium cambricum x vulgare = P. x font-queri Rothm."	"Polypodium cambricum x vulgare = P. x font-queri"	
"Polypodium interjectum x vulgare = P. x mantoniae Rothm. & U.Schneid."		"2cd4p9h.cz"	"2cd4p9h.cz"	"Polypodium interjectum x vulgare = P. x mantoniae Rothm. & U.Schneid."	"Polypodium interjectum x vulgare = P. x mantoniae"	
"Polystichum munitum x setiferum = P. x lesliei Rumsey & Acock"		"2cd4p9h.d5"	"2cd4p9h.d5"	"Polystichum munitum x setiferum = P. x lesliei Rumsey & Acock"	"Polystichum munitum x setiferum = P. x lesliei"	
"Acanthus mollis L."		"2cd4p9h.db"	"2cd4p9h.db"	"Acanthus mollis L."	"Acanthus mollis"	
"Aconitum napellus L."		"2cd4p9h.dn"	"2cd4p9h.dn"	"Aconitum napellus L."	"Aconitum napellus"	
"Actaea spicata L."		"2cd4p9h.dt"	"2cd4p9h.dt"	"Actaea spicata L."	"Actaea spicata"	
"Aegopodium podagraria L."		"2cd4p9h.e4"	"2cd4p9h.e4"	"Aegopodium podagraria L."	"Aegopodium podagraria"	
"Aethusa cynapium L. subsp. cynapium"		"2cd4p9h.ed"	"2cd4p9h.ed"	"Aethusa cynapium L. subsp. cynapium"	"Aethusa cynapium subsp. cynapium"	
"Aira praecox L."		"2cd4p9h.f0"	"2cd4p9h.f0"	"Aira praecox L."	"Aira praecox"	
"Alchemilla conjuncta Bab."		"2cd4p9h.f6"	"2cd4p9h.f6"	"Alchemilla conjuncta Bab."	"Alchemilla conjuncta"	
"Alchemilla minima Walters"		"2cd4p9h.f9"	"2cd4p9h.f9"	"Alchemilla minima Walters"	"Alchemilla minima"	
"Allium roseum L."		"2cd4p9h.ff"	"2cd4p9h.ff"	"Allium roseum L."	"Allium roseum"	
"Allium scorodoprasum L."		"2cd4p9h.fv"	"2cd4p9h.fv"	"Allium scorodoprasum L."	"Allium scorodoprasum"	
"Alopecurus geniculatus x pratensis = A. x brachystylus Peterm."		"2cd4p9h.fy"	"2cd4p9h.fy"	"Alopecurus geniculatus x pratensis = A. x brachystylus Peterm."	"Alopecurus geniculatus x pratensis = A. x brachystylus"	
"Althaea officinalis L."		"2cd4p9h.fz"	"2cd4p9h.fz"	"Althaea officinalis L."	"Althaea officinalis"	
"Amaranthus albus L."		"2cd4p9h.g5"	"2cd4p9h.g5"	"Amaranthus albus L."	"Amaranthus albus"	
"Andromeda polifolia L."		"2cd4p9h.gn"	"2cd4p9h.gn"	"Andromeda polifolia L."	"Andromeda polifolia"	
"Anemone nemorosa L."		"2cd4p9h.gt"	"2cd4p9h.gt"	"Anemone nemorosa L."	"Anemone nemorosa"	
"Anthyllis vulneraria L. subsp. vulneraria var. vulneraria"		"2cd4p9h.ha"	"2cd4p9h.ha"	"Anthyllis vulneraria L. subsp. vulneraria var. vulneraria"	"Anthyllis vulneraria subsp. vulneraria var. vulneraria"	
"Aphanes arvensis L. s.s."		"2cd4p9h.hg"	"2cd4p9h.hg"	"Aphanes arvensis L. s.s."	"Aphanes arvensis"	"s.s."
"Arabis hirsuta (L.) Scop."		"2cd4p9h.hm"	"2cd4p9h.hm"	"Arabis hirsuta (L.) Scop."	"Arabis hirsuta"	
"Arabis brownii Jord."		"2cd4p9h.hm"	"2cd4p9h.7mxzrx"	"Arabis hirsuta (L.) Scop."	"Arabis brownii"	
"Arctium minus (Hill) Bernh. subsp. minus"		"2cd4p9h.v0"	"2cd4p9h.v0"	"Arctium minus (Hill) Bernh. subsp. minus"	"Arctium minus subsp. minus"	
"Arenaria balearica L."		"2cd4p9h.v6"	"2cd4p9h.v6"	"Arenaria balearica L."	"Arenaria balearica"	
"Arenaria ciliata L."		"2cd4p9h.v9"	"2cd4p9h.v9"	"Arenaria ciliata L."	"Arenaria ciliata"	
"Arenaria serpyllifolia L. s.s."		"2cd4p9h.vc"	"2cd4p9h.vc"	"Arenaria serpyllifolia L. s.s."	"Arenaria serpyllifolia"	"s.s."
"Armoracia rusticana G.Gaertn., B.Mey. & Scherb."		"2cd4p9h.vv"	"2cd4p9h.vv"	"Armoracia rusticana G.Gaertn., B.Mey. & Scherb."	"Armoracia rusticana"	
"Artemisia absinthium L."		"2cd4p9h.w2"	"2cd4p9h.w2"	"Artemisia absinthium L."	"Artemisia absinthium"	
"Artemisia campestris L."		"2cd4p9h.w5"	"2cd4p9h.w5"	"Artemisia campestris L."	"Artemisia campestris"	
"Artemisia verlotiorum Lamotte"		"2cd4p9h.w8"	"2cd4p9h.w8"	"Artemisia verlotiorum Lamotte"	"Artemisia verlotiorum"	
"Arum italicum subsp. neglectum (F.Towns.) Prime"		"2cd4p9h.wh"	"2cd4p9h.wh"	"Arum italicum subsp. neglectum (F.Towns.) Prime"	"Arum italicum subsp. neglectum"	
"Asperugo procumbens L."		"2cd4p9h.wn"	"2cd4p9h.wn"	"Asperugo procumbens L."	"Asperugo procumbens"	
"Atriplex laciniata L."		"2cd4p9h.wt"	"2cd4p9h.wt"	"Atriplex laciniata L."	"Atriplex laciniata"	
"Barbarea vulgaris W.T.Aiton"		"2cd4p9h.k4"	"2cd4p9h.k4"	"Barbarea vulgaris W.T.Aiton"	"Barbarea vulgaris"	
"Betula pubescens Ehrh. subsp. pubescens"		"2cd4p9h.kd"	"2cd4p9h.kd"	"Betula pubescens Ehrh. subsp. pubescens"	"Betula pubescens subsp. pubescens"	
"Bidens tripartita L."		"2cd4p9h.kw"	"2cd4p9h.kw"	"Bidens tripartita L."	"Bidens tripartita"	
"Briza minor L."		"2cd4p9h.kp"	"2cd4p9h.kp"	"Briza minor L."	"Briza minor"	
"Bromopsis benekenii (Lange) Holub"		"2cd4p9h.x0"	"2cd4p9h.x0"	"Bromopsis benekenii (Lange) Holub"	"Bromopsis benekenii"	
"Ceratochloa cathartica (Vahl) Herter"		"2cd4p9h.x6"	"2cd4p9h.x6"	"Ceratochloa cathartica (Vahl) Herter"	"Ceratochloa cathartica"	
"Bromus hordeaceus L."		"2cd4p9h.xf"	"2cd4p9h.xf"	"Bromus hordeaceus L."	"Bromus hordeaceus"	
"Bromus squarrosus L."		"2cd4p9h.xv"	"2cd4p9h.xv"	"Bromus squarrosus L."	"Bromus squarrosus"	
"Buddleja davidii Franch."		"2cd4p9h.xy"	"2cd4p9h.xy"	"Buddleja davidii Franch."	"Buddleja davidii"	
"Bunias orientalis L."		"2cd4p9h.m2"	"2cd4p9h.m2"	"Bunias orientalis L."	"Bunias orientalis"	
"Bupleurum falcatum L."		"2cd4p9h.m8"	"2cd4p9h.m8"	"Bupleurum falcatum L."	"Bupleurum falcatum"	
"Bupleurum rotundifolium L."		"2cd4p9h.mb"	"2cd4p9h.mb"	"Bupleurum rotundifolium L."	"Bupleurum rotundifolium"	
"Clinopodium ascendens (Jord.) Samp."		"2cd4p9h.mh"	"2cd4p9h.mh"	"Clinopodium ascendens (Jord.) Samp."	"Clinopodium ascendens"	
"Callitriche brutia Petagna"		"2cd4p9h.mn"	"2cd4p9h.mn"	"Callitriche brutia Petagna"	"Callitriche brutia"	
"Cardamine pratensis L."		"2cd4p9h.n1"	"2cd4p9h.n1"	"Cardamine pratensis L."	"Cardamine pratensis"	
"Carduus tenuiflorus Curtis"		"2cd4p9h.n7"	"2cd4p9h.n7"	"Carduus tenuiflorus Curtis"	"Carduus tenuiflorus"	
"Carex appropinquata Schumach."		"2cd4p9h.nd"	"2cd4p9h.nd"	"Carex appropinquata Schumach."	"Carex appropinquata"	
"Carex laevigata Sm."		"2cd4p9h.ng"	"2cd4p9h.ng"	"Carex laevigata Sm."	"Carex laevigata"	
"Carex limosa L."		"2cd4p9h.nw"	"2cd4p9h.nw"	"Carex limosa L."	"Carex limosa"	
"Carex maritima Gunnerus"		"2cd4p9h.nm"	"2cd4p9h.nm"	"Carex maritima Gunnerus"	"Carex maritima"	
"Carex nigra (L.) Reichard"		"2cd4p9h.np"	"2cd4p9h.np"	"Carex nigra (L.) Reichard"	"Carex nigra"	
"Carex rupestris Bellardi ex All."		"2cd4p9h.y3"	"2cd4p9h.y3"	"Carex rupestris Bellardi ex All."	"Carex rupestris"	
"Carex strigosa Huds."		"2cd4p9h.y6"	"2cd4p9h.y6"	"Carex strigosa Huds."	"Carex strigosa"	
"Carex vaginata Tausch"		"2cd4p9h.y9"	"2cd4p9h.y9"	"Carex vaginata Tausch"	"Carex vaginata"	
"Carpinus betulus L."		"2cd4p9h.yf"	"2cd4p9h.yf"	"Carpinus betulus L."	"Carpinus betulus"	
"Castanea sativa Mill."		"2cd4p9h.yx"	"2cd4p9h.yx"	"Castanea sativa Mill."	"Castanea sativa"	
"Centaurium littorale (Turner ex Sm.) Gilmour"		"2cd4p9h.yr"	"2cd4p9h.yr"	"Centaurium littorale (Turner ex Sm.) Gilmour"	"Centaurium littorale"	
"Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet"		"2cd4p9h.pb"	"2cd4p9h.pb"	"Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet"	"Cerastium fontanum subsp. vulgare"	
"Chaerophyllum temulum L."		"2cd4p9h.ph"	"2cd4p9h.ph"	"Chaerophyllum temulum L."	"Chaerophyllum temulum"	
"Chenopodium album L. s.s."		"2cd4p9h.pq"	"2cd4p9h.pq"	"Chenopodium album L. s.s."	"Chenopodium album"	"s.s."
"Chenopodium hircinum Schrad."		"2cd4p9h.pt"	"2cd4p9h.pt"	"Chenopodium hircinum Schrad."	"Chenopodium hircinum"	
"Leucanthemum vulgare Lam."		"2cd4p9h.q4"	"2cd4p9h.q4"	"Leucanthemum vulgare Lam."	"Leucanthemum vulgare"	
"Cirsium oleraceum (L.) Scop."		"2cd4p9h.qa"	"2cd4p9h.qa"	"Cirsium oleraceum (L.) Scop."	"Cirsium oleraceum"	
"Cirsium vulgare (Savi) Ten."		"2cd4p9h.qd"	"2cd4p9h.qd"	"Cirsium vulgare (Savi) Ten."	"Cirsium vulgare"	
"Cochlearia officinalis subsp. scotica (Druce) P.S.Wyse Jacks."		"2cd4p9h.qm"	"2cd4p9h.qm"	"Cochlearia officinalis subsp. scotica (Druce) P.S.Wyse Jacks."	"Cochlearia officinalis subsp. scotica"	
"Convolvulus arvensis L."		"2cd4p9h.qs"	"2cd4p9h.qs"	"Convolvulus arvensis L."	"Convolvulus arvensis"	
"Corrigiola litoralis L."		"2cd4p9h.r3"	"2cd4p9h.r3"	"Corrigiola litoralis L."	"Corrigiola litoralis"	
"Corylus avellana L."		"2cd4p9h.r9"	"2cd4p9h.r9"	"Corylus avellana L."	"Corylus avellana"	
"Cotoneaster horizontalis Decne."		"2cd4p9h.rf"	"2cd4p9h.rf"	"Cotoneaster horizontalis Decne."	"Cotoneaster horizontalis"	
"Crepis capillaris (L.) Wallr."		"2cd4p9h.rx"	"2cd4p9h.rx"	"Crepis capillaris (L.) Wallr."	"Crepis capillaris"	
"Crepis paludosa (L.) Moench"		"2cd4p9h.ry"	"2cd4p9h.ry"	"Crepis paludosa (L.) Moench"	"Crepis paludosa"	
"Crocus nudiflorus Sm."		"2cd4p9h.rz"	"2cd4p9h.rz"	"Crocus nudiflorus Sm."	"Crocus nudiflorus"	
"Cynodon dactylon (L.) Pers."		"2cd4p9h.s5"	"2cd4p9h.s5"	"Cynodon dactylon (L.) Pers."	"Cynodon dactylon"	
"Dactylis polygama Horv."		"2cd4p9h.sb"	"2cd4p9h.sb"	"Dactylis polygama Horv."	"Dactylis polygama"	
"Dactylorhiza incarnata subsp. coccinea (Pugsley) Soó"		"2cd4p9h.sk"	"2cd4p9h.sk"	"Dactylorhiza incarnata subsp. coccinea (Pugsley) Soó"	"Dactylorhiza incarnata subsp. coccinea"	
"Dactylorhiza incarnata subsp. pulchella (Druce) Soó"		"2cd4p9h.sn"	"2cd4p9h.sn"	"Dactylorhiza incarnata subsp. pulchella (Druce) Soó"	"Dactylorhiza incarnata subsp. pulchella"	
"Dactylorhiza maculata (L.) Soó"		"2cd4p9h.sq"	"2cd4p9h.sq"	"Dactylorhiza maculata (L.) Soó"	"Dactylorhiza maculata"	
"Physospermum cornubiense (L.) DC."		"2cd4p9h.t7"	"2cd4p9h.t7"	"Physospermum cornubiense (L.) DC."	"Physospermum cornubiense"	
"Consolida ajacis (L.) Schur"		"2cd4p9h.td"	"2cd4p9h.td"	"Consolida ajacis (L.) Schur"	"Consolida ajacis"	
"Deschampsia cespitosa subsp. parviflora (Thuill.) Dumort."		"2cd4p9h.tm"	"2cd4p9h.tm"	"Deschampsia cespitosa subsp. parviflora (Thuill.) Dumort."	"Deschampsia cespitosa subsp. parviflora"	
"Diplotaxis erucoides (L.) DC."		"2cd4p9h.ts"	"2cd4p9h.ts"	"Diplotaxis erucoides (L.) DC."	"Diplotaxis erucoides"	
"Drosera rotundifolia L."		"2cd4p9h.z3"	"2cd4p9h.z3"	"Drosera rotundifolia L."	"Drosera rotundifolia"	
"Hyacinthoides non-scripta (L.) Chouard ex Rothm."		"2cd4p9h.z9"	"2cd4p9h.z9"	"Hyacinthoides non-scripta (L.) Chouard ex Rothm."	"Hyacinthoides non-scripta"	
"Epilobium parviflorum Schreb."		"2cd4p9h.zf"	"2cd4p9h.zf"	"Epilobium parviflorum Schreb."	"Epilobium parviflorum"	
"Erigeron karvinskianus DC."		"2cd4p9h.zr"	"2cd4p9h.zr"	"Erigeron karvinskianus DC."	"Erigeron karvinskianus"	
"Eruca vesicaria (L.) Cav. subsp. vesicaria"		"2cd4p9h.10b"	"2cd4p9h.10b"	"Eruca vesicaria (L.) Cav. subsp. vesicaria"	"Eruca vesicaria subsp. vesicaria"	
"Euonymus europaeus L."		"2cd4p9h.10h"	"2cd4p9h.10h"	"Euonymus europaeus L."	"Euonymus europaeus"	
"Euphorbia amygdaloides subsp. robbiae (Turrill) Stace"		"2cd4p9h.10q"	"2cd4p9h.10q"	"Euphorbia amygdaloides subsp. robbiae (Turrill) Stace"	"Euphorbia amygdaloides subsp. robbiae"	
"Euphorbia helioscopia L."		"2cd4p9h.10t"	"2cd4p9h.10t"	"Euphorbia helioscopia L."	"Euphorbia helioscopia"	
"Euphorbia portlandica L."		"2cd4p9h.111"	"2cd4p9h.111"	"Euphorbia portlandica L."	"Euphorbia portlandica"	
"Euphrasia micrantha Rchb."		"2cd4p9h.117"	"2cd4p9h.117"	"Euphrasia micrantha Rchb."	"Euphrasia micrantha"	
"Festuca rubra L. subsp. rubra"		"2cd4p9h.11w"	"2cd4p9h.11w"	"Festuca rubra L. subsp. rubra"	"Festuca rubra subsp. rubra"	
"Festuca rubra subsp. juncea (Hack.) K.Richt."		"2cd4p9h.11m"	"2cd4p9h.11m"	"Festuca rubra subsp. juncea (Hack.) K.Richt."	"Festuca rubra subsp. juncea"	
"Fumaria capreolata L."		"2cd4p9h.123"	"2cd4p9h.123"	"Fumaria capreolata L."	"Fumaria capreolata"	
"Fumaria vaillantii Loisel."		"2cd4p9h.12f"	"2cd4p9h.12f"	"Fumaria vaillantii Loisel."	"Fumaria vaillantii"	
"Cruciata laevipes Opiz"		"2cd4p9h.12x"	"2cd4p9h.12x"	"Cruciata laevipes Opiz"	"Cruciata laevipes"	
"Galium sterneri Ehrend."		"2cd4p9h.12z"	"2cd4p9h.12z"	"Galium sterneri Ehrend."	"Galium sterneri"	
"Galium tricornutum Dandy"		"2cd4p9h.138"	"2cd4p9h.138"	"Galium tricornutum Dandy"	"Galium tricornutum"	
"Galium verum L."		"2cd4p9h.13b"	"2cd4p9h.13b"	"Galium verum L."	"Galium verum"	
"Gaultheria shallon Pursh"		"2cd4p9h.13h"	"2cd4p9h.13h"	"Gaultheria shallon Pursh"	"Gaultheria shallon"	
"Gentianella germanica (Willd.) Börner"		"2cd4p9h.13q"	"2cd4p9h.13q"	"Gentianella germanica (Willd.) Börner"	"Gentianella germanica"	
"Geranium endressii J.Gay"		"2cd4p9h.144"	"2cd4p9h.144"	"Geranium endressii J.Gay"	"Geranium endressii"	
"Geranium phaeum L."		"2cd4p9h.147"	"2cd4p9h.147"	"Geranium phaeum L."	"Geranium phaeum"	
"Geranium pusillum L."		"2cd4p9h.14a"	"2cd4p9h.14a"	"Geranium pusillum L."	"Geranium pusillum"	
"Geranium rotundifolium L."		"2cd4p9h.14d"	"2cd4p9h.14d"	"Geranium rotundifolium L."	"Geranium rotundifolium"	
"Geranium versicolor L."		"2cd4p9h.14g"	"2cd4p9h.14g"	"Geranium versicolor L."	"Geranium versicolor"	
"Gladiolus italicus Mill."		"2cd4p9h.14m"	"2cd4p9h.14m"	"Gladiolus italicus Mill."	"Gladiolus italicus"	
"Glechoma hederacea L."		"2cd4p9h.14s"	"2cd4p9h.14s"	"Glechoma hederacea L."	"Glechoma hederacea"	
"Glyceria declinata Bréb."		"2cd4p9h.153"	"2cd4p9h.153"	"Glyceria declinata Bréb."	"Glyceria declinata"	
"Glyceria maxima (Hartm.) Holmb."		"2cd4p9h.156"	"2cd4p9h.156"	"Glyceria maxima (Hartm.) Holmb."	"Glyceria maxima"	
"Glyceria notata Chevall."		"2cd4p9h.159"	"2cd4p9h.159"	"Glyceria notata Chevall."	"Glyceria notata"	
"Gnaphalium uliginosum L."		"2cd4p9h.15v"	"2cd4p9h.15v"	"Gnaphalium uliginosum L."	"Gnaphalium uliginosum"	
"Hedera helix subsp. poetarum (Bertol.) Nyman"		"2cd4p9h.165"	"2cd4p9h.165"	"Hedera helix subsp. poetarum (Bertol.) Nyman"	"Hedera helix subsp. poetarum"	
"Helianthemum apenninum (L.) Mill."		"2cd4p9h.16b"	"2cd4p9h.16b"	"Helianthemum apenninum (L.) Mill."	"Helianthemum apenninum"	
"Heracleum sphondylium L."		"2cd4p9h.16n"	"2cd4p9h.16n"	"Heracleum sphondylium L."	"Heracleum sphondylium"	
"Herniaria ciliolata Melderis subsp. ciliolata"		"2cd4p9h.171"	"2cd4p9h.171"	"Herniaria ciliolata Melderis subsp. ciliolata"	"Herniaria ciliolata subsp. ciliolata"	
"Herniaria hirsuta L."		"2cd4p9h.174"	"2cd4p9h.174"	"Herniaria hirsuta L."	"Herniaria hirsuta"	
"Hesperis matronalis L."		"2cd4p9h.17a"	"2cd4p9h.17a"	"Hesperis matronalis L."	"Hesperis matronalis"	
"Holcus lanatus L."		"2cd4p9h.17g"	"2cd4p9h.17g"	"Holcus lanatus L."	"Holcus lanatus"	
"Humulus lupulus L."		"2cd4p9h.17m"	"2cd4p9h.17m"	"Humulus lupulus L."	"Humulus lupulus"	
"Hypericum calycinum L."		"2cd4p9h.17s"	"2cd4p9h.17s"	"Hypericum calycinum L."	"Hypericum calycinum"	
"Hypericum hircinum L."		"2cd4p9h.183"	"2cd4p9h.183"	"Hypericum hircinum L."	"Hypericum hircinum"	
"Hypericum perforatum L."		"2cd4p9h.186"	"2cd4p9h.186"	"Hypericum perforatum L."	"Hypericum perforatum"	
"Hypochaeris maculata L."		"2cd4p9h.18c"	"2cd4p9h.18c"	"Hypochaeris maculata L."	"Hypochaeris maculata"	
"Hypochaeris radicata L."		"2cd4p9h.18f"	"2cd4p9h.18f"	"Hypochaeris radicata L."	"Hypochaeris radicata"	
"Impatiens glandulifera Royle"		"2cd4p9h.18x"	"2cd4p9h.18x"	"Impatiens glandulifera Royle"	"Impatiens glandulifera"	
"Inula helenium L."		"2cd4p9h.18z"	"2cd4p9h.18z"	"Inula helenium L."	"Inula helenium"	
"Inula salicina L."		"2cd4p9h.192"	"2cd4p9h.192"	"Inula salicina L."	"Inula salicina"	
"Isolepis cernua (Vahl) Roem. & Schult."		"2cd4p9h.198"	"2cd4p9h.198"	"Isolepis cernua (Vahl) Roem. & Schult."	"Isolepis cernua"	
"Juncus alpinoarticulatus Chaix"		"2cd4p9h.19e"	"2cd4p9h.19e"	"Juncus alpinoarticulatus Chaix"	"Juncus alpinoarticulatus"	
"Juncus filiformis L."		"2cd4p9h.19h"	"2cd4p9h.19h"	"Juncus filiformis L."	"Juncus filiformis"	
"Juncus bulbosus subsp. kochii (F.W.Schultz) Reichg."		"2cd4p9h.19n"	"2cd4p9h.19n"	"Juncus bulbosus subsp. kochii (F.W.Schultz) Reichg."	"Juncus bulbosus subsp. kochii"	
"Kickxia spuria (L.) Dumort."		"2cd4p9h.1a4"	"2cd4p9h.1a4"	"Kickxia spuria (L.) Dumort."	"Kickxia spuria"	
"Koenigia islandica L."		"2cd4p9h.1aa"	"2cd4p9h.1aa"	"Koenigia islandica L."	"Koenigia islandica"	
"Lagurus ovatus L."		"2cd4p9h.1ag"	"2cd4p9h.1ag"	"Lagurus ovatus L."	"Lagurus ovatus"	
"Lamium confertum Fr."		"2cd4p9h.1am"	"2cd4p9h.1am"	"Lamium confertum Fr."	"Lamium confertum"	
"Larix decidua Mill."		"2cd4p9h.1as"	"2cd4p9h.1as"	"Larix decidua Mill."	"Larix decidua"	
"Lathyrus palustris L."		"2cd4p9h.1b3"	"2cd4p9h.1b3"	"Lathyrus palustris L."	"Lathyrus palustris"	
"Leersia oryzoides (L.) Sw."		"2cd4p9h.1bf"	"2cd4p9h.1bf"	"Leersia oryzoides (L.) Sw."	"Leersia oryzoides"	
"Lemna gibba L."		"2cd4p9h.1bx"	"2cd4p9h.1bx"	"Lemna gibba L."	"Lemna gibba"	
"Leonurus cardiaca L."		"2cd4p9h.1br"	"2cd4p9h.1br"	"Leonurus cardiaca L."	"Leonurus cardiaca"	
"Leycesteria formosa Wall."		"2cd4p9h.1c2"	"2cd4p9h.1c2"	"Leycesteria formosa Wall."	"Leycesteria formosa"	
"Limonium auriculae-ursifolium (Pourr.) Druce"		"2cd4p9h.1c8"	"2cd4p9h.1c8"	"Limonium auriculae-ursifolium (Pourr.) Druce"	"Limonium auriculae-ursifolium"	
"Limosella aquatica L."		"2cd4p9h.1cn"	"2cd4p9h.1cn"	"Limosella aquatica L."	"Limosella aquatica"	
"Limosella aquatica x australis"		"2cd4p9h.1cq"	"2cd4p9h.1cq"	"Limosella aquatica x australis"	"Limosella aquatica x australis"	
"Linaria arenaria DC."		"2cd4p9h.1d1"	"2cd4p9h.1d1"	"Linaria arenaria DC."	"Linaria arenaria"	
"Linaria repens (L.) Mill."		"2cd4p9h.1d4"	"2cd4p9h.1d4"	"Linaria repens (L.) Mill."	"Linaria repens"	
"Linnaea borealis L."		"2cd4p9h.1da"	"2cd4p9h.1da"	"Linnaea borealis L."	"Linnaea borealis"	
"Linum catharticum L."		"2cd4p9h.1dg"	"2cd4p9h.1dg"	"Linum catharticum L."	"Linum catharticum"	
"Liparis loeselii (L.) Rich."		"2cd4p9h.1dm"	"2cd4p9h.1dm"	"Liparis loeselii (L.) Rich."	"Liparis loeselii"	
"Lolium multiflorum x perenne = L. x boucheanum Kunth"		"2cd4p9h.1ds"	"2cd4p9h.1ds"	"Lolium multiflorum x perenne = L. x boucheanum Kunth"	"Lolium multiflorum x perenne = L. x boucheanum"	
"Lotus corniculatus L."		"2cd4p9h.1e3"	"2cd4p9h.1e3"	"Lotus corniculatus L."	"Lotus corniculatus"	
"Luzula multiflora subsp. congesta (Thuill.) Arcang."		"2cd4p9h.1ec"	"2cd4p9h.1ec"	"Luzula multiflora subsp. congesta (Thuill.) Arcang."	"Luzula multiflora subsp. congesta"	
"Lycium chinense Mill."		"2cd4p9h.1ey"	"2cd4p9h.1ey"	"Lycium chinense Mill."	"Lycium chinense"	
"Lysimachia vulgaris L."		"2cd4p9h.1ez"	"2cd4p9h.1ez"	"Lysimachia vulgaris L."	"Lysimachia vulgaris"	
"Malus sylvestris (L.) Mill. s.s."		"2cd4p9h.1f5"	"2cd4p9h.1f5"	"Malus sylvestris (L.) Mill. s.s."	"Malus sylvestris"	"s.s."
"Malva moschata L."		"2cd4p9h.1fb"	"2cd4p9h.1fb"	"Malva moschata L."	"Malva moschata"	
"Medicago lupulina L."		"2cd4p9h.1fh"	"2cd4p9h.1fh"	"Medicago lupulina L."	"Medicago lupulina"	
"Melilotus altissimus Thuill."		"2cd4p9h.1fn"	"2cd4p9h.1fn"	"Melilotus altissimus Thuill."	"Melilotus altissimus"	
"Mentha aquatica x spicata = M. x piperita L."		"2cd4p9h.1ft"	"2cd4p9h.1ft"	"Mentha aquatica x spicata = M. x piperita L."	"Mentha aquatica x spicata = M. x piperita"	
"Menyanthes trifoliata L."		"2cd4p9h.1g4"	"2cd4p9h.1g4"	"Menyanthes trifoliata L."	"Menyanthes trifoliata"	
"Mercurialis perennis L."		"2cd4p9h.1ga"	"2cd4p9h.1ga"	"Mercurialis perennis L."	"Mercurialis perennis"	
"Moenchia erecta (L.) G.Gaertn., B.Mey. & Scherb."		"2cd4p9h.1gm"	"2cd4p9h.1gm"	"Moenchia erecta (L.) G.Gaertn., B.Mey. & Scherb."	"Moenchia erecta"	
"Montia fontana L. subsp. fontana"		"2cd4p9h.1h0"	"2cd4p9h.1h0"	"Montia fontana L. subsp. fontana"	"Montia fontana subsp. fontana"	
"Myosotis sylvatica Ehrh. ex Hoffm."		"2cd4p9h.1h6"	"2cd4p9h.1h6"	"Myosotis sylvatica Ehrh. ex Hoffm."	"Myosotis sylvatica"	
"Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt"		"2cd4p9h.1hc"	"2cd4p9h.1hc"	"Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt"	"Najas flexilis"	
"Narcissus jonquilla x pseudonarcissus = N. x odorus L."		"2cd4p9h.1hv"	"2cd4p9h.1hv"	"Narcissus jonquilla x pseudonarcissus = N. x odorus L."	"Narcissus jonquilla x pseudonarcissus = N. x odorus"	
"Lysimachia thyrsiflora L."		"2cd4p9h.1hx"	"2cd4p9h.1hx"	"Lysimachia thyrsiflora L."	"Lysimachia thyrsiflora"	
"Nuphar pumila (Timm) DC."		"2cd4p9h.1hr"	"2cd4p9h.1hr"	"Nuphar pumila (Timm) DC."	"Nuphar pumila"	
"Oenanthe silaifolia M.Bieb."		"2cd4p9h.1vb"	"2cd4p9h.1vb"	"Oenanthe silaifolia M.Bieb."	"Oenanthe silaifolia"	
"Oenothera stricta Ledeb. ex Link"		"2cd4p9h.1vh"	"2cd4p9h.1vh"	"Oenothera stricta Ledeb. ex Link"	"Oenothera stricta"	
"Ophrys insectifera L."		"2cd4p9h.1vn"	"2cd4p9h.1vn"	"Ophrys insectifera L."	"Ophrys insectifera"	
