"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Salix fragilis var. fragilis"		"2cd4p9h.95p2ec"	"2cd4p9h.r0y"	"Salix x fragilis L. var. fragilis"	"Salix fragilis var. fragilis"	
"Salix fragilis var. furcata Ser. ex Gaudin"		"2cd4p9h.95p2ef"	"2cd4p9h.cvx"	"Salix x fragilis var. furcata Ser. ex Gaudin"	"Salix fragilis var. furcata"	
"Salix fragilis var. russelliana (Sm.) W.D.J.Koch"		"2cd4p9h.95p2ev"	"2cd4p9h.1tc"	"Salix x fragilis var. russelliana (Sm.) W.D.J.Koch"	"Salix fragilis var. russelliana"	
"Rosa sherardii x spinosissima = R. x involuta Sm."		"2cd4p9h.95p2gw"	"2cd4p9h.95p2gw"	"Rosa sherardii x spinosissima = R. x involuta Sm."	"Rosa sherardii x spinosissima = R. x involuta"	
"Fraxinus angustifolia subsp. oxycarpa 'Raywood'"		"2cd4p9h.95p3zf"	"2cd4p9h.95p3zf"	"Fraxinus angustifolia subsp. oxycarpa 'Raywood'"	"Fraxinus angustifolia subsp. oxycarpa 'Raywood'"	
"Epipactis leptochila var. cleistogama (C.A.Thomas) D.P.Young"		"2cd4p9h.95p4wn"	"2cd4p9h.95p4wn"	"Epipactis leptochila var. cleistogama (C.A.Thomas) D.P.Young"	"Epipactis leptochila var. cleistogama"	
"Viburnum trilobum Marshall"		"2cd4p9h.95p4qf"	"2cd4p9h.95p4qf"	"Viburnum trilobum Marshall"	"Viburnum trilobum"	
"Rosa rugosa x spinosissima"		"2cd4p9h.95p4z0"	"2cd4p9h.95p4z0"	"Rosa rugosa x spinosissima"	"Rosa rugosa x spinosissima"	
"Rosa caesia s.l. x rubiginosa"		"2cd4p9h.95p59k"	"2cd4p9h.95p59k"	"Rosa caesia s.l. x rubiginosa"	"Rosa caesia s.l. x rubiginosa"	
"Carex distans x oederi = C. x gogelana Podp."		"2cd4p9h.aw1z5s"	"2cd4p9h.95ysg7"	"Carex distans x viridula = C. x gogelana Podp."	"Carex distans x oederi = C. x gogelana"	
"Carpobrotus chilensis (Molina) N.E.Br."		"2cd4p9h.amrvqa"	"2cd4p9h.amrvqa"	"Carpobrotus chilensis (Molina) N.E.Br."	"Carpobrotus chilensis"	
"Gymnadenia odoratissima (L.) Rich."		"2cd4p9h.amrvqm"	"2cd4p9h.amrvqm"	"Gymnadenia odoratissima (L.) Rich."	"Gymnadenia odoratissima"	
"Nectaroscordum siculum (Ucria) Lindl. subsp. siculum"		"2cd4p9h.aqkxm8"	"2cd4p9h.3hks3v"	"Allium siculum Ucria subsp. siculum"	"Nectaroscordum siculum subsp. siculum"	
"Asplenium adiantum-nigrum var. corunnense H. Christ"		"2cd4p9h.aqkxme"	"2cd4p9h.aqkxme"	"Asplenium adiantum-nigrum var. corunnense H. Christ"	"Asplenium adiantum-nigrum var. corunnense"	
"Athyrium distentifolium Tausch ex Opiz var. distentifolium"		"2cd4p9h.aqkxmh"	"2cd4p9h.aqkxmh"	"Athyrium distentifolium Tausch ex Opiz var. distentifolium"	"Athyrium distentifolium var. distentifolium"	
"Botrychium matricariifolium (Retz.) A.Braun ex Koch"		"2cd4p9h.aqkxsm"	"2cd4p9h.aqkxsm"	"Botrychium matricariifolium (Retz.) A.Braun ex Koch"	"Botrychium matricariifolium"	
"Coeloglossum viride x Dactylorhiza fuchsii = X Dactyloglossum mixtum (Asch. & Graebn.) Rauschert"		"2cd4p9h.aqkxt6"	"2cd4p9h.66c"	"Dactylorhiza viridis x fuchsii = D. x mixta (Asch. & Graebn.) B.Bock"	"Coeloglossum viride x Dactylorhiza fuchsii = X Dactyloglossum mixtum"	
"Coeloglossum viride x Dactylorhiza incarnata = X Dactyloglossum guilhotii (E.G.Camus) Soó"		"2cd4p9h.aqkxtx"	"2cd4p9h.7sdemy"	"Dactylorhiza incarnata x viridis = D. x guilhotii (E.G.Camus) B.Bock"	"Coeloglossum viride x Dactylorhiza incarnata = X Dactyloglossum guilhotii"	
"Dactylorhiza incarnata x viridis = D. x guilhotii (E.G.Camus) B.Bock"		"2cd4p9h.aqkxtx"	"2cd4p9h.aqkxtx"	"Dactylorhiza incarnata x viridis = D. x guilhotii (E.G.Camus) B.Bock"	"Dactylorhiza incarnata x viridis = D. x guilhotii"	
"Coeloglossum viride x Dactylorhiza maculata = X Dactyloglossum conigerum (Norman) Rauschert"		"2cd4p9h.aqkxtr"	"2cd4p9h.d23"	"Dactylorhiza maculata x viridis = D. x conigera (Norman) B.Bock"	"Coeloglossum viride x Dactylorhiza maculata = X Dactyloglossum conigerum"	
"Dactylorhiza maculata subsp. elodes (Griseb.) Soó"		"2cd4p9h.aqkxtz"	"2cd4p9h.aqkxtz"	"Dactylorhiza maculata subsp. elodes (Griseb.) Soó"	"Dactylorhiza maculata subsp. elodes"	
"Dactylorhiza maculata (L.) Soó subsp. maculata"		"2cd4p9h.aqkxz2"	"2cd4p9h.aqkxz2"	"Dactylorhiza maculata (L.) Soó subsp. maculata"	"Dactylorhiza maculata subsp. maculata"	
"Coeloglossum viride x Dactylorhiza praetermissa"		"2cd4p9h.aqkxz8"	"2cd4p9h.95yz4v"	"Dactylorhiza praetermissa x viridis"	"Coeloglossum viride x Dactylorhiza praetermissa"	
"Dactylorhiza praetermissa x viridis"		"2cd4p9h.aqkxz8"	"2cd4p9h.aqkxz8"	"Dactylorhiza praetermissa x viridis"	"Dactylorhiza praetermissa x viridis"	
"Dactylorhiza praetermissa (Druce) Soó var. praetermissa"		"2cd4p9h.aqkxzh"	"2cd4p9h.aqkxzh"	"Dactylorhiza praetermissa (Druce) Soó var. praetermissa"	"Dactylorhiza praetermissa var. praetermissa"	
"Coeloglossum viride x Dactylorhiza purpurella = X Dactyloglossum viridellum (Hesl.-Harr.f.) Soó"		"2cd4p9h.aqkxzn"	"2cd4p9h.wd7"	"Dactylorhiza purpurella x viridis = D. x viridella R.M.Bateman, Pridgeon & M.W.Chase"	"Coeloglossum viride x Dactylorhiza purpurella = X Dactyloglossum viridellum"	
"Dactylorhiza ebudensis (Wief. ex R.M.Bateman & Denholm) P.Delforge"		"2cd4p9h.aqkxzt"	"2cd4p9h.3hkvk7"	"Dactylorhiza traunsteinerioides subsp. francis-drucei var. ebudensis (Wief. ex R.M.Bateman & Denholm) R.M.Bateman & Denholm"	"Dactylorhiza ebudensis"	
"Dicksonia fibrosa Colenso"		"2cd4p9h.aqkm0a"	"2cd4p9h.aqkm0a"	"Dicksonia fibrosa Colenso"	"Dicksonia fibrosa"	
"Dryopteris affinis subsp. kerryensis (Fraser-Jenk.) Fraser-Jenk."		"2cd4p9h.aqkm0w"	"2cd4p9h.aqkm0w"	"Dryopteris affinis subsp. kerryensis (Fraser-Jenk.) Fraser-Jenk."	"Dryopteris affinis subsp. kerryensis"	
"Epipactis helleborine (L.) Crantz var. helleborine"		"2cd4p9h.aqkm0s"	"2cd4p9h.aqkm0s"	"Epipactis helleborine (L.) Crantz var. helleborine"	"Epipactis helleborine var. helleborine"	
"Kniphofia ensifolia Baker"		"2cd4p9h.aqkm1v"	"2cd4p9h.aqkm1v"	"Kniphofia ensifolia Baker"	"Kniphofia ensifolia"	
"Acer miyabei Maxim."		"2cd4p9h.aqkm3d"	"2cd4p9h.aqkm3d"	"Acer miyabei Maxim."	"Acer miyabei"	
"Acer velutinum Boiss."		"2cd4p9h.aqkm4x"	"2cd4p9h.aqkm4x"	"Acer velutinum Boiss."	"Acer velutinum"	
"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl var. elatius"		"2cd4p9h.aqkm79"	"2cd4p9h.aqkm79"	"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl var. elatius"	"Arrhenatherum elatius var. elatius"	
"Astilbe chinensis var. davidii Franch."		"2cd4p9h.aqkm7r"	"2cd4p9h.aqkm7r"	"Astilbe chinensis var. davidii Franch."	"Astilbe chinensis var. davidii"	
"Betula populifolia Marshall"		"2cd4p9h.aqkm9m"	"2cd4p9h.aqkm9m"	"Betula populifolia Marshall"	"Betula populifolia"	
"Betula utilis D.Don subsp. utilis var. utilis"		"2cd4p9h.aqkm9s"	"2cd4p9h.aqkm9s"	"Betula utilis D.Don subsp. utilis var. utilis"	"Betula utilis subsp. utilis var. utilis"	
"Callitriche cophocarpa Sendtn."		"2cd4p9h.aqkmaz"	"2cd4p9h.aqkmaz"	"Callitriche cophocarpa Sendtn."	"Callitriche cophocarpa"	
"Calystegia sepium (L.) R.Br. subsp. sepium f. sepium"		"2cd4p9h.aqkmb2"	"2cd4p9h.aqkmb2"	"Calystegia sepium (L.) R.Br. subsp. sepium f. sepium"	"Calystegia sepium subsp. sepium f. sepium"	
"Carthamus creticus L."		"2cd4p9h.aqkmcs"	"2cd4p9h.aqkmcs"	"Carthamus creticus L."	"Carthamus creticus"	
"Cenchrus pauciflorus Benth."		"2cd4p9h.aqkmd0"	"2cd4p9h.aqkmd0"	"Cenchrus pauciflorus Benth."	"Cenchrus pauciflorus"	
"Ceratophyllum demersum L. var. demersum"		"2cd4p9h.aqkmeb"	"2cd4p9h.aqkmeb"	"Ceratophyllum demersum L. var. demersum"	"Ceratophyllum demersum var. demersum"	
"Clematis cirrhosa var. balearica (Rich.) Willk. & Lange"		"2cd4p9h.aqkmet"	"2cd4p9h.aqkmet"	"Clematis cirrhosa var. balearica (Rich.) Willk. & Lange"	"Clematis cirrhosa var. balearica"	
"Clematis cirrhosa L. var. cirrhosa"		"2cd4p9h.aqkmf1"	"2cd4p9h.aqkmf1"	"Clematis cirrhosa L. var. cirrhosa"	"Clematis cirrhosa var. cirrhosa"	
"Convolvulus arvensis L. f. arvensis"		"2cd4p9h.aqkmf4"	"2cd4p9h.aqkmf4"	"Convolvulus arvensis L. f. arvensis"	"Convolvulus arvensis f. arvensis"	
