"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Eriophorum angustifolium Honck."	"2cd4p9h.ykw"	"2cd4p9h.ykw"	"Eriophorum angustifolium Honck."	1	1	"Eriophorum angustifolium"				
"Erodium moschatum (L.) L'Hér."	"2cd4p9h.ykm"	"2cd4p9h.ykm"	"Erodium moschatum (L.) L'Hér."	5	5	"Erodium moschatum"				
"Euphrasia cambrica Pugsley"	"2cd4p9h.yx3"	"2cd4p9h.yx3"	"Euphrasia cambrica Pugsley"	2	2	"Euphrasia cambrica"				
"Euphrasia tetraquetra (Bréb.) Arrond."	"2cd4p9h.yx6"	"2cd4p9h.yx6"	"Euphrasia tetraquetra (Bréb.) Arrond."	3	3	"Euphrasia tetraquetra"				
"Fagopyrum esculentum Moench"	"2cd4p9h.yx9"	"2cd4p9h.yx9"	"Fagopyrum esculentum Moench"	7	7	"Fagopyrum esculentum"				
"Festuca rubra L."	"2cd4p9h.yxf"	"2cd4p9h.yxf"	"Festuca rubra L."	5	5	"Festuca rubra"				
"Filipendula vulgaris Moench"	"2cd4p9h.yxv"	"2cd4p9h.yxv"	"Filipendula vulgaris Moench"	2	2	"Filipendula vulgaris"				
"Foeniculum vulgare Mill."	"2cd4p9h.yxy"	"2cd4p9h.yxy"	"Foeniculum vulgare Mill."	5	5	"Foeniculum vulgare"				
"Fraxinus excelsior L."	"2cd4p9h.yxr"	"2cd4p9h.yxr"	"Fraxinus excelsior L."	6	6	"Fraxinus excelsior"				
"Fritillaria meleagris L."	"2cd4p9h.yxz"	"2cd4p9h.yxz"	"Fritillaria meleagris L."	4	4	"Fritillaria meleagris"				
"Galanthus nivalis L."	"2cd4p9h.ymh"	"2cd4p9h.ymh"	"Galanthus nivalis L."	7	7	"Galanthus nivalis"				
"Galeopsis speciosa Mill."	"2cd4p9h.ymn"	"2cd4p9h.ymn"	"Galeopsis speciosa Mill."	7	7	"Galeopsis speciosa"				
"Galium aparine L."	"2cd4p9h.ymq"	"2cd4p9h.ymq"	"Galium aparine L."	8	8	"Galium aparine"				
"Galium palustre L."	"2cd4p9h.yn4"	"2cd4p9h.yn4"	"Galium palustre L."	4	4	"Galium palustre"				
"Galium uliginosum L."	"2cd4p9h.yn7"	"2cd4p9h.yn7"	"Galium uliginosum L."	4	4	"Galium uliginosum"				
"Gentianella amarella (L.) Börner"	"2cd4p9h.yna"	"2cd4p9h.yna"	"Gentianella amarella (L.) Börner"	2	2	"Gentianella amarella"				
"Gentianella campestris (L.) Börner"	"2cd4p9h.ynd"	"2cd4p9h.ynd"	"Gentianella campestris (L.) Börner"	3	3	"Gentianella campestris"				
"Geranium pyrenaicum Burm.f."	"2cd4p9h.ynm"	"2cd4p9h.ynm"	"Geranium pyrenaicum Burm.f."	6	6	"Geranium pyrenaicum"				
"Hammarbya paludosa (L.) Kuntze"	"2cd4p9h.yy3"	"2cd4p9h.yy3"	"Hammarbya paludosa (L.) Kuntze"	1	1	"Hammarbya paludosa"				
"Soleirolia soleirolii (Req.) Dandy"	"2cd4p9h.yyc"	"2cd4p9h.yyc"	"Soleirolia soleirolii (Req.) Dandy"	6	6	"Soleirolia soleirolii"				
"Hirschfeldia incana (L.) Lagr.-Foss."	"2cd4p9h.yyv"	"2cd4p9h.yyv"	"Hirschfeldia incana (L.) Lagr.-Foss."	5	5	"Hirschfeldia incana"				
"Honckenya peploides (L.) Ehrh."	"2cd4p9h.yyy"	"2cd4p9h.yyy"	"Honckenya peploides (L.) Ehrh."	6	6	"Honckenya peploides"				
"Hypericum pulchrum L."	"2cd4p9h.yyr"	"2cd4p9h.yyr"	"Hypericum pulchrum L."	3	3	"Hypericum pulchrum"				
"Hypochaeris glabra L."	"2cd4p9h.yyz"	"2cd4p9h.yyz"	"Hypochaeris glabra L."	2	2	"Hypochaeris glabra"				
"Ilex aquifolium L."	"2cd4p9h.yp2"	"2cd4p9h.yp2"	"Ilex aquifolium L."	5	5	"Ilex aquifolium"				
"Isolepis setacea (L.) R.Br."	"2cd4p9h.yp5"	"2cd4p9h.yp5"	"Isolepis setacea (L.) R.Br."	3	3	"Isolepis setacea"				
"Juncus balticus Willd."	"2cd4p9h.yp8"	"2cd4p9h.yp8"	"Juncus balticus Willd."	2	2	"Juncus balticus"				
"Lapsana communis L."	"2cd4p9h.ypk"	"2cd4p9h.ypk"	"Lapsana communis L."	7	7	"Lapsana communis"				
"Lathyrus tuberosus L."	"2cd4p9h.yq1"	"2cd4p9h.yq1"	"Lathyrus tuberosus L."	6	6	"Lathyrus tuberosus"				
"Leontodon hispidus L."	"2cd4p9h.yqd"	"2cd4p9h.yqd"	"Leontodon hispidus L."	3	3	"Leontodon hispidus"				
"Leucojum aestivum L."	"2cd4p9h.yqg"	"2cd4p9h.yqg"	"Leucojum aestivum L."	8	8	"Leucojum aestivum"				
"Linaria pelisseriana (L.) Mill."	"2cd4p9h.yqp"	"2cd4p9h.yqp"	"Linaria pelisseriana (L.) Mill."	4	4	"Linaria pelisseriana"				
"Linum perenne L."	"2cd4p9h.yqs"	"2cd4p9h.yqs"	"Linum perenne L."	2	2	"Linum perenne"				
"Lobularia maritima (L.) Desv."	"2cd4p9h.yr3"	"2cd4p9h.yr3"	"Lobularia maritima (L.) Desv."	4	4	"Lobularia maritima"				
"Luzula pilosa (L.) Willd."	"2cd4p9h.yr9"	"2cd4p9h.yr9"	"Luzula pilosa (L.) Willd."	3	3	"Luzula pilosa"				
"Malva neglecta Wallr."	"2cd4p9h.yrc"	"2cd4p9h.yrc"	"Malva neglecta Wallr."	7	7	"Malva neglecta"				
"Malva pusilla Sm."	"2cd4p9h.yrf"	"2cd4p9h.yrf"	"Malva pusilla Sm."	5	5	"Malva pusilla"				
"Malva sylvestris L."	"2cd4p9h.yrv"	"2cd4p9h.yrv"	"Malva sylvestris L."	7	7	"Malva sylvestris"				
"Melampyrum pratense L."	"2cd4p9h.yrz"	"2cd4p9h.yrz"	"Melampyrum pratense L."	3	3	"Melampyrum pratense"				
"Silene latifolia Poir."	"2cd4p9h.ys2"	"2cd4p9h.ys2"	"Silene latifolia Poir."	6	6	"Silene latifolia"				
"Silene noctiflora L."	"2cd4p9h.ys8"	"2cd4p9h.ys8"	"Silene noctiflora L."	6	6	"Silene noctiflora"				
"Melica nutans L."	"2cd4p9h.ysb"	"2cd4p9h.ysb"	"Melica nutans L."	3	3	"Melica nutans"				
"Melilotus albus Medik."	"2cd4p9h.yse"	"2cd4p9h.yse"	"Melilotus albus Medik."	4	4	"Melilotus albus"				
"Milium effusum L."	"2cd4p9h.ysk"	"2cd4p9h.ysk"	"Milium effusum L."	5	5	"Milium effusum"				
"Montia fontana L."	"2cd4p9h.yst"	"2cd4p9h.yst"	"Montia fontana L."	3	3	"Montia fontana"				
"Myosotis ramosissima Rochel"	"2cd4p9h.yt1"	"2cd4p9h.yt1"	"Myosotis ramosissima Rochel"	3	3	"Myosotis ramosissima"				
"Nardus stricta L."	"2cd4p9h.ytd"	"2cd4p9h.ytd"	"Nardus stricta L."	2	2	"Nardus stricta"				
"Oenanthe aquatica (L.) Poir."	"2cd4p9h.ytw"	"2cd4p9h.ytw"	"Oenanthe aquatica (L.) Poir."	6	6	"Oenanthe aquatica"				
