"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Asplenium trichomanes L."	"2cd4p9h.aq"	"2cd4p9h.aq"	"Asplenium trichomanes L."	0	0	"Asplenium trichomanes"				
"Asplenium viride Huds."	"2cd4p9h.b4"	"2cd4p9h.b4"	"Asplenium viride Huds."	0	0	"Asplenium viride"				
"Dryopteris aemula (Aiton) Kuntze"	"2cd4p9h.ba"	"2cd4p9h.ba"	"Dryopteris aemula (Aiton) Kuntze"	0	0	"Dryopteris aemula"				
"Hymenophyllum wilsonii Hook."	"2cd4p9h.bg"	"2cd4p9h.bg"	"Hymenophyllum wilsonii Hook."	0	0	"Hymenophyllum wilsonii"				
"Isoetes echinospora Durieu"	"2cd4p9h.bm"	"2cd4p9h.bm"	"Isoetes echinospora Durieu"	0	0	"Isoetes echinospora"				
"Selaginella selaginoides (L.) P.Beauv."	"2cd4p9h.bs"	"2cd4p9h.bs"	"Selaginella selaginoides (L.) P.Beauv."	0	0	"Selaginella selaginoides"				
"Aconitum napellus L."	"2cd4p9h.dn"	"2cd4p9h.dn"	"Aconitum napellus L."	0	0	"Aconitum napellus"				
"Actaea spicata L."	"2cd4p9h.dt"	"2cd4p9h.dt"	"Actaea spicata L."	0	0	"Actaea spicata"				
"Aegopodium podagraria L."	"2cd4p9h.e4"	"2cd4p9h.e4"	"Aegopodium podagraria L."	0	0	"Aegopodium podagraria"				
"Aira praecox L."	"2cd4p9h.f0"	"2cd4p9h.f0"	"Aira praecox L."	0	0	"Aira praecox"				
"Alchemilla minima Walters"	"2cd4p9h.f9"	"2cd4p9h.f9"	"Alchemilla minima Walters"	0	0	"Alchemilla minima"				
"Allium roseum L."	"2cd4p9h.ff"	"2cd4p9h.ff"	"Allium roseum L."	0	0	"Allium roseum"				
"Allium scorodoprasum L."	"2cd4p9h.fv"	"2cd4p9h.fv"	"Allium scorodoprasum L."	0	0	"Allium scorodoprasum"				
