species	BRC
Persicaria amphibia	9201521
Potamogeton natans	9201570
Potamogeton perfoliatus	9201575
Equisetum fluviatile	910713
Callitriche stagnalis sens.lat.	920307
Glyceria fluitans	920933
Potamogeton gramineus	9201568
Potamogeton obtusifolius	9201573
Elodea canadensis	920681
Nuphar lutea	9201356
Lemna minor	9201126
Nymphaea alba	9201358
Juncus filiformis	9201068
Littorella uniflora	9201175
Ceratophyllum demersum	920471
Hydrocharis morsus-ranae	920998
Myriophyllum spicatum	9201331
Potamogeton crispus	9201563
Potamogeton filiformis	9201566
Potamogeton pectinatus	9201574
Potamogeton trichoides	9201581
Ranunculus omiophyllus	9201654
Ranunculus trichophyllus	9201664
Sparganium emersum	9201983
Stratiotes aloides	9202017
Apium inundatum	920135
Luronium natans	9201198
Myriophyllum alterniflorum	9201330
Potamogeton alpinus	9201558
Elatine hydropiper	920672
Glyceria notata	920936
Lobelia dortmanna	9201177
Potamogeton pusillus	9201578
Utricularia vulgaris sens.lat.	9202132
Callitriche obtusangula	920304
Hippuris vulgaris	920981
Potamogeton berchtoldii	9201559
Potamogeton compressus	9201562
Ranunculus circinatus	9201648
Potamogeton 'hybrids'	9204551
Callitriche hermaphroditica	920302
Ranunculus peltatus	9201643
Nymphoides peltata	9201360
Oenanthe aquatica	9201362
Lemna trisulca	9201128
Juncus bulbosus	9201058
Zannichellia palustris	9202237
Callitriche platycarpa	920307.1
Potamogeton praelongus	9201577
Potamogeton polygonifolius	9201576
Elodea nuttallii	920997
Potamogeton friesii	9201567
Callitriche hamulata sens.lat.	920303
Ranunculus baudotii	9201646
Potamogeton lucens	9201569
Ruppia cirrhosa	9201759
Lemna gibba	9201125
Ruppia maritima	9201758
Groenlandia densa	920944
Isoetes echinospora	9101043
Sparganium angustifolium	9201980
Elatine hexandra	920671
Eleogiton fluitans	920679
Ranunculus aquatilis	9201643
Nuphar pumila	9201357
Eleocharis acicularis	920673
Najas flexilis	9201334
Ranunculus hederaceus	9201653
Utricularia intermedia sens.lat.	9202129
Sparganium natans	9201982
Subularia aquatica	9202020
Potamogeton rutilus	9201579
Utricularia minor	9202130
Isoetes lacustris	9101045
Spirodela polyrhiza	9201127
Ranunculus pseudofluitans	9201644
Veronica beccabunga	9202166
Berula erecta	920234
Rorippa nasturtium-aquaticum sens.str.	9201347
Persicaria hydropiper	9201530
Mentha aquatica	9201272
Phalaris arundinacea	9201454
Ranunculus fluitans	9201652
Apium nodiflorum	920137
Glyceria fluitans x notata (G. x pedicellata)	920935
Ranunculus sceleratus	9201663
Wolffia arrhiza	9202231
Sparganium erectum	9201981
Alisma plantago-aquatica	92063
Ceratophyllum submersum	920472
Baldellia ranunculoides	920224
Eriocaulon aquaticum	920739
Juncus articulatus	9201054
Carex nigra	920393
Ranunculus flammula	9201651
Carex rostrata	920414
Eleocharis palustris	920675
Eleocharis multicaulis	920674
Bidens tripartita	920242
Azolla filiculoides	910223
Potentilla palustris	9201592
Sagittaria sagittifolia	9201771
Hottonia palustris	920995
Sium latifolium	9201944
Myriophyllum verticillatum	9201332
Populus tremula	9201555
Ranunculus lingua	9201655
Potamogeton coloratus	9201561
Myosotis scorpioides	9201322
Glyceria declinata	920932
Schoenoplectus lacustris	9201851
Agrostis capillaris	92040
Alchemilla glabra	92051
Anthoxanthum odoratum	920121
Bellis perennis	920231
Carex flacca	920376
Carex panicea	920400
Carex pulicaris	920408
Cirsium palustre	920520
Festuca ovina agg.	920821
Festuca rubra agg.	920824
Galium sterneri	920883.2
Selaginella selaginoides	9101888
Lotus corniculatus	9201191
Plantago lanceolata	9201487
Polygala serpyllifolia	9201514
Potentilla erecta	9201588
Prunella vulgaris	9201610
Danthonia decumbens	9201915
Succisa pratensis	9202021
Thymus polytrichus	9202060
Viola riviniana	9202218
Euphrasia officinalis agg.	9202243
Alchemilla filicaulis	9204480
Calluna vulgaris	920309
Campanula rotundifolia	920322
Carex caryophyllea	920355
Carex viridula subsp.oedocarpa	920361
Deschampsia flexuosa	920628
Galium saxatile	920878
Linum catharticum	9201169
Ranunculus acris	9201642
Saxifraga oppositifolia	9201837
Vaccinium myrtillus	9202136
