species	BRC
Veronica officinalis	9202173
Achillea millefolium	9207
Alchemilla alpina	92048
Cerastium fontanum	920467
Deschampsia cespitosa	920627
Juncus squarrosus	9201075
Lathyrus linifolius	9201112
Nardus stricta	9201344
Empetrum nigrum subsp.hermaphroditum	920683
Gentianella campestris	920901
Hypericum pulchrum	9201015
Luzula sylvatica	9201209
Molinia caerulea	9201307
Primula vulgaris	9201607
Rumex acetosa	9201734
Saxifraga aizoides	9201826
Trifolium repens	9202092
Pinguicula vulgaris	9201481
Persicaria vivipara	9201543
Agrostis canina sens.lat.	92035
Agrostis vinealis	92035.1
Briza media	920256
Cynosurus cristatus	920597
Helictotrichon pratense	920961
Potentilla sterilis	9201596
Alchemilla xanthochlora	92060
Blechnum spicant	910244
Botrychium lunaria	910248
Angelica sylvestris	920109
Euphrasia scottica	920807
Silene acaulis	9201917
Luzula campestris	9201201
Euphrasia confusa	920788
Pteridium aquilinum	9101619
Leontodon autumnalis	9201129
Rubus idaeus	9201729
Hieracium 'indeterminate'	9202560
Carex pilulifera	920405
Erica cinerea	920726
Oreopteris limbosperma	9102051
Potentilla crantzii	9201587
Senecio jacobaea	9201899
Solidago virgaurea	9201951
Luzula multiflora	9201204
Oxalis acetosella	9201413
Hieracium pilosella group	9205157
Cardamine pratensis	920331
Empetrum nigrum subsp.nigrum	920685
Geum rivale	920924
Alchemilla filicaulis subsp.filicaulis	92050
Alchemilla wichurae	92059
Hypochaeris radicata	9201020
Galium verum	920888
Vaccinium vitis-idaea	9202138
Aira praecox	92042
Filipendula ulmaria	920833
Antennaria dioica	920116
Ranunculus repens	9201660
Koeleria macrantha	9201087
Holcus lanatus	920983
Plantago maritima	9201489
Helianthemum nummularium	920955
Thalictrum alpinum	9202047
Carex binervis	920350
Galium boreale	920874
Poa pratensis sens.lat.	9201506
Festuca vivipara	920826
Anemone nemorosa	920105
Carex bigelowii	920349
Coeloglossum viride	920537
Huperzia selago	9101217
Luzula spicata	9201208
Erica tetralix	920731
Gnaphalium supinum	920939
Armeria maritima	920166
Sibbaldia procumbens	9201913
Trollius europaeus	9202106
Viola palustris	9202215
Diphasiastrum alpinum	9101213
Juncus trifidus	9201078
Cerastium alpinum	920460
Veronica serpyllifolia	9202180
Minuartia sedoides	920501
Salix herbacea	9201794
Taraxacum agg.	9202034
Viola canina	9202207
Narthecium ossifragum	9201345
Saxifraga hypnoides	9201835
Trichophorum cespitosum	9201858
Euphrasia frigida	920792
Epilobium anagallidifolium	920691
Sagina saginoides	9201768
Viola lutea	9202212
Juncus triglumis	9201079
Draba norvegica	920653
Sedum rosea	9201882
Loiseleuria procumbens	9201180
Myosotis alpestris	9201316
Saxifraga stellaris	9201842
Poa alpina	9201494
Saxifraga nivalis	9201836
Veronica alpina	9202162
Dryas octopetala	920658
Epipactis atrorubens	920702
Listera ovata	9201173
Salix repens agg.	9201802
Trifolium pratense	9202091
Carex rupestris	920415
Centaurea nigra	920444
Daucus carota subsp.carota	920620
Polystichum aculeatum	9101546
Rubus saxatilis	9201730
Orchis mascula	9201387
Schoenus nigricans	9201855
Plantago media	9201490
Juniperus communis subsp.communis	9201080
Gentianella amarella	920897
Arctostaphylos uva-ursi	920155
Anthyllis vulneraria	920126
Carex capillaris	920353
Geranium sylvaticum	920921
Parnassia palustris	9201437
Saussurea alpina	9201825
Vaccinium uliginosum	9202137
Pyrola rotundifolia	9205438
Asplenium trichomanes-ramosum	910195
Carex atrata	920345
Crepis paludosa	920576
Salix reticulata	9201803
Tofieldia pusilla	9202066
Veronica fruticans	9202170
Polystichum lonchitis	9101547
Bartsia alpina	920230
Equisetum variegatum	910723
Rhinanthus minor	9201678
Salix arbuscula	9201785
Draba incana	920651
Salix myrsinites	9201798
Cerastium arcticum	920465
Orthilia secunda	9201410
Arabis hirsuta	920146
Salix aurita	9201787
Carex vaginata	920423
Heracleum sphondylium	920968
Salix lapponum	9201796
Sesleria caerulea	9201908
Clinopodium acinos	92012
Blackstonia perfoliata	920243
Carex humilis	920383
Dactylis glomerata	920607
Echium vulgare	920670
Helianthemum canum	920954
Koeleria vallesiana	9201088
Polygala vulgaris	9201515
Sedum acre	9201875
Teucrium scorodonia	9202046
Trifolium dubium	9202081
Sanguisorba minor	9205442
Anacamptis pyramidalis	92098
Bromus hordeaceus subsp.ferronii	920264
Cirsium acaule	920514
Helictotrichon pubescens	920962
Inula conyzae	9201030
Leontodon saxatilis	9201131
Helianthemum apenninum	920953
Leontodon hispidus	9201130
Medicago lupulina	9201250
Ranunculus bulbosus	9201647
Scabiosa columbaria	9201846
Trifolium scabrum	9202094
Carlina vulgaris	920427
Centaurea scabiosa	920446
Scilla autumnalis	9201856
Hippocrepis comosa	920979
Scilla verna	9201857
Potentilla neumanniana	9201597
Centaurium erythraea	9205486
Aira caryophyllea	92041
Cerastium diffusum	920462
Cerastium pumilum	920468
Trisetum flavescens	9202105
Brachypodium sylvaticum	920250
Catapodium rigidum	920435
Arenaria serpyllifolia	920162
Plantago coronopus	9201485
Trinia glauca	9202104
Viola hirta	9202210
Crepis capillaris	920572
Asperula cynanchica	9205472
Euphorbia portlandica	920780
Phleum bertolonii	9201461
Draba aizoides	920650
Aster linosyris	9201166
Filipendula vulgaris	920834
Trifolium striatum	9202097
Sedum forsterianum	9201879
Bromopsis erecta	920263
Leucanthemum vulgare	920502
Cirsium arvense	920515
Cirsium vulgare	920522
Fragaria vesca	920838
Pimpinella saxifraga	9201476
Primula veris	9201605
Thesium humifusum	9202055
Thymus pulegioides	9202061
Astragalus danicus	920207
Crataegus monogyna	920569
Gymnadenia conopsea	920948
Hypochaeris maculata	9201019
Picris hieracioides	9201472
Campanula glomerata	920315
Cirsium eriophorum	920517
Dactylorhiza fuchsii	920608
Stachys officinalis	920237
Carduus nutans	920337
Urtica dioica	9202126
Phleum pratense sens.lat.	9202247
Arrhenatherum elatius	920169
Agrimonia eupatoria	92022
Geranium sanguineum	920920
Lolium perenne	9201183
Ononis repens	9201377
Phyteuma orbiculare	9201469
Tephroseris integrifolia subsp.integrifolia	9201898
Onobrychis viciifolia	9201375
Festuca arundinacea	920813
Lathyrus pratensis	9201116
Vicia cracca	9202189
Brachypodium pinnatum	920249
Hypericum montanum	9201013
Serratula tinctoria	9201906
Agrostis stolonifera	92039
Galium mollugo	920879
Ulex europaeus	9202112
Veronica chamaedrys	9202168
Tragopogon pratensis	9202074
Gentianella anglica	920899
Polygala calcarea	9201512
Pulsatilla vulgaris	920106
Ophrys apifera	9201382
Knautia arvensis	9201084
Rosa canina agg.	9201708
Cruciata laevipes	920875
Potentilla reptans	9201594
Reseda lutea	9201672
Clematis vitalba	920528
Convolvulus arvensis	920544
Fraxinus excelsior (s)	920841
Ononis spinosa	9201378
Origanum vulgare	9201393
Arctium minus	9202405
Pastinaca sativa	9201440
Orobanche elatior	9201401
Clinopodium vulgare	920530
Sambucus nigra	9201815
Hypericum hirsutum	9201010
Acer pseudoplatanus	9205
Sorbus aria	9201958
Quercus robur	9201640
Genista tinctoria	920893
Salix caprea	9201788
Fagus sylvatica	920810
Plantago major	9201488
Erigeron acer	920733
Reseda luteola	9201673
Cynoglossum officinale	920596
Linaria vulgaris	9201164
Rumex acetosella	9201735
Carex ericetorum	920373
Sedum album	9201876
Myosotis ramosissima	9201320
Sagina nodosa	9201766
Erodium cicutarium agg.	920745
Erophila verna sens.lat.	920753
Hypericum perforatum	9201014
Veronica arvensis	9202165
Aphanes arvensis sens.str.	920132
Teesdalia nudicaulis	9202041
Linum perenne	9201167
Trifolium medium	9202087
Minuartia verna	9201304
Kobresia simpliciuscula	9201085
Viola rupestris	9202219
Carex hostiana	920382
Primula farinosa	9201603
Thalictrum minus	9202049
Gentiana verna	920896
Cochlearia pyrenaica	9205422
Carex arenaria	920344
Ulex gallii	9202113
Ammophila arenaria	92097
Rosa pimpinellifolia	9201719
Sedum anglicum	9201877
Jasione montana	9201048
Luzula pilosa	9201207
Listera cordata	9201172
Eriophorum vaginatum	920744
Lycopodium clavatum	9101215
Trientalis europaea	9202076
Sorbus aucuparia (g)	9201960
Arctostaphylos alpinus	920156
Dryopteris oreades	910659
Dactylorhiza maculata	920610
Hymenophyllum wilsonii	9101001
Euphrasia micrantha	920796
Juniperus communis subsp.alpina	9201080
Pyrola media	9201630
Genista anglica	920891
Betula pubescens (g)	920240
Dryopteris dilatata	910661
Cryptogramma crispa	910586
Cornus suecica	920478
Melampyrum pratense	9201256
Phegopteris connectilis	9102053
Dryopteris filix-mas	910665
Rubus chamaemorus	9201727
Carex echinata	920370
Ulex minor	9202114
Quercus seedling/sp	9204446
Cuscuta epithymum	920589
Pinus sylvestris (g)	9201484
Betula seedling/sp	9204445
Agrostis curtisii	92038
Rubus fruticosus agg.	9201728
Sorbus aucuparia	9201960
Erica ciliaris	920725
Viola lactea	9202211
Carex montana	920391
Pedicularis sylvatica	9201442
Erica vagans	920732
Anagallis tenella	920100
Sanguisorba officinalis	9201818
Juncus acutiflorus	9201050
Juncus maritimus	9201072
Drosera rotundifolia	920657
Eriophorum angustifolium	920740
Phragmites australis	9201465
Dactylorhiza incarnata	920609
Platanthera bifolia	9201492
Scutellaria minor	9201874
Eupatorium cannabinum	920763
Pinguicula lusitanica	9201480
Galium uliginosum	920887
Hypericum humifusum	9201011
Prunus spinosa	9201617
Dactylorhiza majalis x purpurella	9202877
Carex viridula subsp.viridula	9207118
Genista pilosa	920892
Silene uniflora	9201926
Digitalis purpurea	920640
Holcus mollis	920984
Vaccinium myrtillus x vitis-idaea (V. x intermediu	9202135
Equisetum palustre	910717
Carex dioica	920365
Carex viridula subsp.brachyrrhyncha	920387
Drosera longifolia	920654
Myrica gale	9201328
Minuartia stricta	9201302
Pedicularis palustris	9201441
Triglochin palustre	9202102
Galium palustre	920882
Juncus alpinoarticulatus	9201053
Valeriana dioica	9202139
Eleocharis quinqueflora	920677
Caltha palustris	920310
Eriophorum latifolium	920743
Sagina procumbens	9201767
Tussilago farfara	9202109
Carex saxatilis	920417
Carex atrofusca	920346
Alopecurus borealis	92080
Carex curta	920359
Juncus castaneus	9201061
Cladium mariscus	920523
Hydrocotyle vulgaris	920999
Juncus subnodulosus	9201076
Lythrum salicaria	9201227
Oenanthe lachenalii	9201366
Valeriana officinalis	9202140
Dactylorhiza majalis praetermissa	920612
Epipactis palustris	920708
Hypericum tetrapterum	9201016
Carex diandra	920363
Carex elata	920371
Lotus pedunculatus	9201194
Lychnis flos-cuculi	9201210
Utricularia australis	9202131
Dactylorhiza traunsteineri	920614
Cirsium dissectum	920516
Ophrys insectifera	9201384
Isolepis setacea	9201047
Menyanthes trifoliata	9201289
Epilobium palustre	920697
Rhynchospora alba	9201691
Drosera intermedia	920655
Juncus conglomeratus	9201063
Juncus effusus	9201067
Lycopodiella inundata	9101216
Vaccinium oxycoccos	9201419
Andromeda polifolia	920103
Vaccinium microcarpum	9201418
Betula nana	920238
Carex limosa	920388
Rhynchospora fusca	9201692
Scheuchzeria palustris	9201848
Hammarbya paludosa	920951
Pinus sylvestris	9201484
Carex disticha	920367
Ophioglossum vulgatum	9101381
Rumex conglomeratus	9201741
Scrophularia auriculata	9201865
Calystegia sepium	920311
Eleocharis uniglumis	920678
Epilobium hirsutum	920692
Thelypteris palustris	9102052
Poa trivialis	9201507
Achillea ptarmica	9209
Carex acutiformis	920341
Epilobium parviflorum	920698
Juncus inflexus	9201070
Lysimachia vulgaris	9201225
Stellaria palustris	9202015
Ajuga reptans	92046
Iris pseudacorus	9201038
Calamagrostis canescens	920292
Carex hirta	920381
Salix cinerea	9201789
Rumex sanguineus	9201753
Potentilla anserina	9201584
Scutellaria galericulata	9201872
Symphytum officinale	9202024
Thalictrum flavum	9202048
Solanum dulcamara	9201947
Lycopus europaeus	9201219
Peucedanum palustre	9201453
Pulicaria dysenterica	9201625
Myosotis laxa	9201319
Carex ovalis	920397
Myosotis secunda	9201323
Veronica scutellata	9202179
Carum verticillatum	920431
Senecio aquaticus	9201891
Stellaria uliginosa	9202007
Athyrium filix-femina	910211
Epilobium obscurum	920696
Cardamine flexuosa	920328
Stellaria graminea	9202009
Alnus glutinosa	92077
Hypericum undulatum	9201017
Osmunda regalis	9101411
Lobelia urens	9201178
Dryopteris carthusiana	910666
Ranunculus auricomus	9201645
Carex appropinquata	920342
Equisetum arvense	910712
Glyceria maxima	920934
Oenanthe crocata	9201363
Rumex crispus	9201742
Elytrigia repens	92033
Carex paniculata	920401
Carex vesicaria	920424
Galium aparine	920873
Cirsium heterophyllum	920518
Carex otrubae	920396
Geranium robertianum	920918
Stellaria media	9202012
Bolboschoenus maritimus	9201860
Triglochin maritimum	9202101
Galeopsis tetrahit agg.	920868
Stachys palustris	9202003
Atriplex prostrata agg.	9203311
Montia fontana	9201312
Glaux maritima	920930
Samolus valerandi	9201817
Tripleurospermum maritimum sens.lat.	9201241
Hypericum elodes	9201008
Galium constrictum	920876
Juncus bufonius sens.lat.	9201057
Pilularia globulifera	9101474
Salix cinerea (g)	9201789
Carex magellanica	920403
Chrysosplenium oppositifolium	920506
Epilobium alsinifolium	920690
Myosotis stolonifera	9201318
Poa annua	9201495
Cerastium cerastoides	920464
Koenigia islandica	9201089
Juncus biglumis	9201056
Alopecurus geniculatus	92082
Chamaemelum nobile	920119
Cochlearia officinalis sens.lat.	9202547
Epilobium brunnescens	920699
Poa humilis	9201507
Sedum villosum	9201886
Saxifraga hirculus	9201832
Lysimachia thyrsiflora	9201350
Carex aquatilis	920343
Carex rariflora	920410
Alchemilla vulgaris agg.	92058
Carex lasiocarpa	920386
Betula pubescens	920240
Sagina apetala subsp.erecta	9201761
Brassica oleracea (cultivated)	920253
Crambe maritima	920565
Silene nutans	9201928
Catapodium marinum	920434
Glaucium flavum	920929
Vicia sativa subsp.sativa	9202197
Sonchus oleraceus	9201954
Senecio vulgaris	9201905
Crithmum maritimum	920579
Hyacinthoides non-scripta	920687
Hedera helix (g)	920952
Sedum telephium	9201885
Spergularia rupicola	9201993
Beta vulgaris subsp.maritima	920235.1
Cochlearia danica	920533
Ranunculus ficaria	9201649
Inula crithmoides	9201031
Aster tripolium	920204
Limonium binervosum agg.	9201148
Asplenium marinum	910189
Parapholis incurva	9201432
Ligusticum scoticum	9201143
Silene dioica	9201259
Erysimum cheiri	920479
Brassica nigra	920252
Trifolium arvense	9202077
Radiola linoides	9201641
Herniaria ciliolata	920971
Salvia verbenaca	9201812
Trifolium occidentale	9202268
Sagina maritima	9201765
Atriplex littoralis	920217
Diplotaxis muralis	920644
Polygonum aviculare agg.	9201522
Lavatera arborea	9201119
Stellaria media agg.	9202012
Cochlearia officinalis	920535
Matricaria maritima	9201241.3
Atriplex prostrata	920214
Polygonum aviculare	9201523
Spergula arvensis	9201987
Cerastium glomeratum	920466
Carex distans	920366
Euphrasia tetraquetra	920799
Conopodium majus	920541
Rumex obtusifolius	9201748
Festuca pratensis x Lolium perenne (x Festulolium	920815
Festuca pratensis	920823
Alopecurus pratensis	92085
Odontites vernus	9201361
Honckenya peploides	920988
Bromus hordeaceus	920269
Parapholis strigosa	9201433
Matricaria discoidea	9201242
Atriplex portulacoides	920950
Elytrigia juncea	92028
Juncus gerardii	9201069
Sonchus asper	9201953
Cochlearia anglica	920532
Elytrigia atherica	92032
Sonchus arvensis	9201952
Torilis japonica	9202069
Oenanthe fistulosa	9201364
Stellaria neglecta	9202013
Anisantha sterilis	920113
Chamerion angustifolium	920477
Vicia sativa subsp.nigra	9202186
Papaver dubium	9207046
Artemisia vulgaris	920175
Anthriscus sylvestris	920125
Papaver rhoeas	9201430
Capsella bursa-pastoris	920325
Pimpinella major	9201475
Vicia sepium	9202198
Aegopodium podagraria	92020
Glechoma hederacea	920931
Lamium album	9201098
Geranium dissectum	920907
Epilobium montanum	920695
Mercurialis perennis	9201291
Myosotis arvensis	9201317
Polemonium caeruleum	9201508
Stellaria holostea	9202010
Cystopteris fragilis	910603
Chrysosplenium alternifolium	920505
Bromopsis ramosa	920272
Draba muralis	920652
Scrophularia nodosa	9201867
Stachys sylvatica	9202005
Rosa villosa agg.	9201722
Alchemilla acutiloba	92047
Alchemilla monticola	92055
Alchemilla glomerulans	92052
Euphrasia nemorosa	920798
Saxifraga granulata	9201830
Myosotis discolor	9201321
Alchemilla subcrenata	92056
Fritillaria meleagris	920842
Potentilla anglica	9201583
Silaum silaus	9201916
Bromus hordeaceus subsp.thominei	920275
Colchicum autumnale	920538
Lolium multiflorum	9201182
Hordeum secalinum	920993
Senecio squalidus	9201902
Urtica urens	9202128
Euphorbia exigua	920771
Lamium hybridum	9201100
Persicaria maculosa	9201537
Viola arvensis	9202206
Raphanus raphanistrum	9205481
Anagallis arvensis	92099
Lapsana communis	9201104
Fallopia convolvulus	9201527
Anthemis cotula	920118
Coronopus squamatus	920552
Lamium purpureum	9201103
Tripleurospermum inodorum	9201241
Veronica persica	9202175
Veronica polita	9202176
Alliaria petiolata	92064
Fumaria officinalis	920854
Euphorbia helioscopia	920772
Polygonum arenastrum	9201520
Matricaria recutita	9201239
Chenopodium album agg.	920481
Sinapis arvensis	9201933
Fumaria bastardii	920845
Senecio sylvaticus	9201903
Stachys arvensis	9202001
Aphanes inexspectata	920133
Fumaria muralis	920850
Chrysanthemum segetum	920504
Polygonum lapathifolium	9201531
Polygonum nodosum	9201531
Sherardia arvensis	9201912
Misopates orontium	920128
Coronopus didymus	920551
Kickxia elatine	9201082
Solanum nigrum	9201949
Atriplex patula	920218
Mercurialis annua	9201290
Chenopodium urbicum	920498
Thlaspi arvense	9202058
Euphorbia peplus	920777
Brassica napus	920251
Chenopodium bonus-henricus	920484
Chenopodium rubrum	920496
Alopecurus myosuroides	92084
Sisymbrium officinale	9201938
Avena fatua	920220
Veronica agrestis	9202161
Galinsoga parviflora	920871
Lamium amplexicaule	9201099
Solanum sarachoides	9201946
Mentha arvensis	9201273
Valerianella dentata	9202143
Chaenorhinum minus	920474
Kickxia spuria	9201083
Legousia hybrida	9201124
Odontites vernus subsp.serotinus	9201361
Adonis annua	92018
Aethusa cynapium	92021
Scandix pecten-veneris	9201847
Filago pyramidata	920832
Ajuga chamaepitys	92043
Silene latifolia	9201258
Arenaria serpyllifolia subsp.leptoclados	920163
Silene noctiflora	9201261
Silene vulgaris	9204578
Malva sylvestris	9201236
Nepeta cataria	9201353
Anchusa arvensis	9201218
Descurainia sophia	920630
Medicago sativa	9201252
Malva neglecta	9201233
Sisymbrium orientale	9201939
Conyza canadensis	920735
Hordeum murinum	920992
Vulpia myuros	9202228
Diplotaxis tenuifolia	920645
Triticum aestivum	9204367
Brassica rapa	920254
Geranium molle	920911
Lactuca serriola	9201094
Ballota nigra	920225
Epilobium ciliatum	920688
Picris echioides	9201471
Gnaphalium uliginosum	920941
Scleranthus annuus	9201862
Anthoxanthum aristatum	920122
Ornithopus perpusillus	9201397
Viola tricolor	9202220
Lythrum portula	9201444
Sagina subulata	9201769
Cardamine hirsuta	920329
Rorippa islandica sens.str.	9202546
Puccinellia distans	9201620
Crepis vesicaria	920578
Linaria purpurea	9201160
Conium maculatum	920540
Cymbalaria muralis	920592
Parietaria judaica	9201435
Buddleja davidii	920277
Cichorium intybus	920509
Medicago arabica	9201247
Smyrnium olusatrum	9201945
Allium triquetrum	92074
Veronica hederifolia	9202171
Barbarea vulgaris	920229
Amaranthus albus	92090
Beta vulgaris	920235
Carduus crispus	920335
Dipsacus fullonum	920646.1
Carex riparia	920413
Typha latifolia	9202111
Rumex hydrolapathum	9201745
Humulus lupulus	920996
Typha angustifolia	9202110
Circaea lutetiana	920513
Rubus caesius	9201726
Cytisus scoparius	9201822
Allium ursinum	92075
Pinus nigra	9201482
Ulmus glabra (s)	9202119
Valerianella locusta	9202145
Rorippa sylvestris	9201704
Rorippa palustris	9201703
Briza maxima	920255
Briza minor	920257
Silene gallica	9201918
Claytonia perfoliata	920525
Ranunculus muricatus	9201657
Vulpia bromoides	9202226
Geranium molle	92041
Trifolium subterraneum	9202099
Anthriscus caucalis	920123
Phalaris minor	9201456
Gladiolus communis	9205470
Ornithogalum angustifolium	9201396
Polycarpon diphyllum	9201509
Trifolium suffocatum	9202100
Anisantha diandra	920110
Oxalis articulata	9201415
Ranunculus parviflorus	9201659
Chenopodium murale	920491
Scirpus sylvaticus	9201861
Salix fragilis (s)	9201793
Limosella aquatica	9201155
Veronica catenata	9202167
Bidens cernua	920241
Hordeum vulgare sens.str.	9208282
Trifolium hybridum	9205459
Allium schoenoprasum	92072
Isoetes histrix	9101044
Juncus capitatus	9201060
Alopecurus aequalis	92079
Salix atrocinerea (g)	9201786
Lythrum hyssopifolia	9201226
Thlaspi caerulescens	9202057
Aquilegia vulgaris	920141
Gymnocarpium robertianum	9102054
Mycelis muralis	9201315
Festuca ovina/rubra (vegetative)	9204916
Asplenium trichomanes	910194
Saxifraga tridactylites	9201843
Asplenium ruta-muraria	910192
Arabidopsis thaliana	920142
Ceterach officinarum	910473
Anogramma leptophylla	910115
Asplenium adiantum-nigrum	910185.1
Hornungia petraea	920994
Papaver argemone	9201424
Anthemis arvensis	920117
Veronica triphyllos	9202182
Phyllitis scolopendrium	9101466
Tanacetum vulgare	9202033
Rubia peregrina	9201725
Tanacetum parthenium	920503
Polypodium vulgare sens.lat.	9101544
Cerastium semidecandrum	920469
Acer pseudoplatanus (g)	9205
Chenopodium ficifolium	920487
Digitaria ischaemum	920641
Digitaria sanguinalis	920642
Amaranthus retroflexus	92092
Apera spica-venti	920130
Polycarpon tetraphyllum	9201509
Oxalis pes-caprae	9202523
Ranunculus marginatus	9207525
Allium roseum	92070
Medicago polymorpha	9201249
Erodium moschatum	920749
Vicia hirsuta	9202191
Fumaria occidentalis	920853
Oxalis corniculata	9201414
Allium ampeloprasum babingtonii	92066
Arum italicum	920177
Erucastrum gallicum	920756
Chenopodium hybridum	920490
Ranunculus arvensis	9201644
Acorus calamus	92015
Schoenoplectus tabernaemontani	9201852
Cicuta virosa	920510
Apium graveolens	920134
Hesperis matronalis	920975
Butomus umbellatus	920288
Mimulus guttatus	9204328
Crassula helmsii	9202423
Carex pseudocyperus	920407
Equisetum telmateia	910721
Spartina alterniflora x maritima (S. x townsendii)	9201986
Puccinellia maritima	9201622
Suaeda maritima	9202019
Salicornia dolichostachya	9201774
Spergularia media	9201991
Spergularia marina	9201990
Aster tripolium var. discoideus	920204.1
Limonium vulgare	9201154
Lathyrus palustris	9201115
Impatiens capensis	9201025
Calamagrostis epigejos	920293
Frangula alnus	920839
Carex acuta	920340
Alnus glutinosa (c)	92077
Dryopteris cristata	910663
Cardamine amara	920327
Aster tripolium (rayed)	920204
Triglochin maritima	9202101
Juncus gerardi	9201069
Persicaria bistorta	9201525
Phleum arenarium	9201459
Viola tricolor subsp.curtisii	9202220
Filago minima	920831
Corynephorus canescens	920558
Vicia lathyroides	9202194
Hippophae rhamnoides	920980
Juncus acutus	9201052
Trifolium fragiferum	9202083
Liparis loeselii	9201171
Centaurium pulchellum	920453
Senecio erucifolius	9201896
Epipactis helleborine	920705
Calystegia soldanella	920312
Leymus arenarius	920682
Senecio viscosus	9201904
Lathyrus japonicus	9201110
Euphorbia paralias	920775
Cakile maritima	920291
Atriplex glabriuscula	920212
Atriplex laciniata	920216
Salsola kali	9205441
Eryngium maritimum	920758
Polygonum oxyspermum	9201539
Mertensia maritima	9201292
Seriphidium maritimum	920172
Lupinus arboreus	9201196
Vulpia fasciculata	9202227
Trifolium campestre	9202080
Acaena anserinifolia	9202528
Cerastium arvense	920461
Salicornia europaea agg.	9204326
Sarcocornia perennis	9201777
Salicornia agg.	9202242
Spartina anglica	9202278
Aster tripolium (unrayed)	920204
Spartina maritima	9201985
