"SITE.x","PLOT.x","Samp_id","Yr_2","BRC_NUMBER","BRC_NAMES","Storm","Label"
2,1,"2_1",1,9201596,"Potentilla sterilis",1,"y"
2,1,"2_1",1,9201705,"Rosa seedling/sp",1,"y"
2,1,"2_1",1,9201728,"Rubus fruticosus agg.",1,"y"
2,1,"2_1",2,9201728,"Rubus fruticosus agg.",1,"y"
2,1,"2_1",1,9201748,"Rumex obtusifolius",1,"y"
2,1,"2_1",1,9201819,"Sanicula europaea",1,"y"
2,1,"2_1",2,9201905,"Senecio vulgaris",1,"y"
2,1,"2_1",2,9202126,"Urtica dioica",1,"y"
2,1,"2_1",1,9202168,"Veronica chamaedrys",1,"y"
2,1,"2_1",2,9202172,"Veronica montana",1,"y"
2,1,"2_1",1,9202217,"Viola riviniana/reichenbiana",1,"y"
2,1,"2_1",1,9202218,"Viola riviniana/reichenbiana",1,"y"
2,1,"2_1",2,9202405,"Arctium agg.",1,"y"
2,1,"2_1",2,9204445,"Betula seedling/sp",1,"y"
2,1,"2_1",1,9204445,"Betula seedling/sp",1,"y"
2,1,"2_1",2,9204446,"Quercus seedling/sp",1,"y"
2,1,"2_1",1,9204446,"Quercus seedling/sp",1,"y"
2,1,"2_1",2,200001583,"Dryopteris dilatata/carthusiana",1,"y"
2,1,"2_1",2,200001595,"Viola riviniana/reichenbiana",1,"y"
2,1,"2_1",1,200001651,"Populus sp",1,"y"
2,2,"2_2",2,82040,"Atrichum undulatum",1,"y"
2,2,"2_2",1,92046,"Ajuga reptans",1,"y"
2,2,"2_2",2,810814,"Lophocolea heterophylla",1,"y"
2,2,"2_2",2,820184,"Dicranella heteromalla",1,"y"
2,2,"2_2",2,820184,"Rhynchostegium confertum",1,"y"
2,2,"2_2",1,820351,"Hypnum cupressiforme sens.lat.",1,"y"
2,2,"2_2",2,820351,"Hypnum cupressiforme sens.lat.",1,"y"
2,2,"2_2",2,820357,"Isopterygium elegans",1,"y"
2,2,"2_2",1,820382,"Mnium hornum",1,"y"
2,2,"2_2",2,820382,"Mnium hornum",1,"y"
2,2,"2_2",2,820483,"Polytrichum formosum",1,"y"
2,2,"2_2",2,820599,"Thuidium tamariscinum",1,"y"
2,2,"2_2",2,910211,"Athyrium filix-femina",1,"y"
2,2,"2_2",2,910665,"Dryopteris affinis/f-mas",1,"y"
2,2,"2_2",1,920183,"Galium odoratum",1,"y"
2,2,"2_2",1,920421,"Carex sylvatica",1,"y"
2,2,"2_2",1,920513,"Circaea lutetiana",1,"y"
2,2,"2_2",2,920513,"Circaea lutetiana",1,"y"
2,2,"2_2",1,920544,"Convolvulus arvensis",1,"y"
2,2,"2_2",2,920557,"Corylus avellana",1,"y"
