BIOTOPE_SHORT_TERM1,BIOTOPE_FULL_TERM1,BIOTOPE_CODE1,CLASSN1,BIOTOPE_SHORT_TERM2,BIOTOPE_FULL_TERM2,BIOTOPE_CODE2,CLASSN2,RELATIONSHIP,
Lowland calcareous grassland,Lowland calcareous grassland,,Biodiversity Action Plan Priority Habitats,Calcareous grassland,Calcareous grassland,B3,Phase 1 Habitat Classification,potentially overlaps with,
Upland heathland,Upland heathland,,Biodiversity Action Plan Priority Habitats,Dry heath/acid grassland,Dry heath/acid grassland,D5,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex rostrata-Sphagnum warnstorfii mire,<i>Carex rostrata</i>-<i>Sphagnum warnstorfii</i> mire,M8,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex curta-Sphagnum russowii mire,<i>Carex curta</i>-<i>Sphagnum russowii</i> mire,M7,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex echinata-Sphagnum recurvum/auriculatum mire,<i>Carex echinata</i>-<i>Sphagnum recurvum</i>/<I>auriculatum</I> mire,M6,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex rostrata-Sphagnum squarrosum mire,<i>Carex rostrata</i>-<i>Sphagnum squarrosum</i> mire,M5,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex rostrata-Sphagnum recurvum mire,<i>Carex rostrata</i>-<i>Sphagnum recurvum</i> mire,M4,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Eriophorum angustifolium bog pool community,<i>Eriophorum angustifolium</i> bog pool community,M3,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Sphagnum cuspidatum/recurvum bog pool community,<i>Sphagnum cuspidatum</i>/<i>recurvum</i> bog pool community,M2,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Swamp,Swamp,F1,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Fen,Fen,E3,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Flush and spring,Flush and spring,E2,Phase 1 Habitat Classification,potentially overlaps with,
Lowland calcareous grassland,Lowland calcareous grassland,,Biodiversity Action Plan Priority Habitats,Arrhenatherum elatius-Filipendula ulmaria tall-herb grasslan,<i>Arrhenatherum elatius</i>-<i>Filipendula ulmaria</i> tall-herb grassland,MG2,National Vegetation Classification,may include,
Lowland calcareous grassland,Lowland calcareous grassland,,Biodiversity Action Plan Priority Habitats,Neutral grassland: unimproved,Neutral grassland: unimproved,B21,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex dioica-Pinguicula vulgaris mire,<i>Carex dioica</i>-<i>Pinguicula vulgaris</i> mire,M10,National Vegetation Classification,may include,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Sand-dune: dune grassland,Sand-dune: dune grassland,H65,Phase 1 Habitat Classification,potentially overlaps with,
Ancient and/or species rich hedgerows,Ancient and/or species rich hedgerows,,Biodiversity Action Plan Priority Habitats,"Boundaries: intact hedges, species-poor","Boundaries: intact hedges, species-poor",J212,Phase 1 Habitat Classification,potentially overlaps with,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Acid grassland,Acid grassland,B1,Phase 1 Habitat Classification,potentially overlaps with,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Acid grassland: unimproved,Acid grassland: unimproved,B11,Phase 1 Habitat Classification,potentially overlaps with,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Acid grassland: semi-improved,Acid grassland: semi-improved,B12,Phase 1 Habitat Classification,potentially overlaps with,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Bracken,Bracken,C1,Phase 1 Habitat Classification,potentially overlaps with,
Lowland calcareous grassland,Lowland calcareous grassland,,Biodiversity Action Plan Priority Habitats,Calcareous grassland: semi-improved,Calcareous grassland: semi-improved,B32,Phase 1 Habitat Classification,potentially overlaps with,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Wet heath/acid grassland,Wet heath/acid grassland,D6,Phase 1 Habitat Classification,potentially overlaps with,
Lowland calcareous grassland,Lowland calcareous grassland,,Biodiversity Action Plan Priority Habitats,Calcareous grassland: unimproved,Calcareous grassland: unimproved,B31,Phase 1 Habitat Classification,potentially overlaps with,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Anthoxanthum odoratum sub-community,<i>Pteridium aquilinum</i>-<i>Galium saxatile</i> community: <i>Anthoxanthum odoratum</i> subcommunity,U20a,National Vegetation Classification,may include,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Carex arenaria-Festuca ovina-Agrostis capillaris dune grassl,<i>Carex arenaria</i>-<i>Festuca ovina</i>-<i>Agrostis capillaris</i> dune grassland,SD12,National Vegetation Classification,may include,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Heath Juncus meadows and humid Nardus stricta swards,Heath <i>Juncus</i> meadows and humid <i>Nardus stricta</i> swards,E3.52,EUNIS Classification,overlaps with,
Upland calcareous grassland,Upland calcareous grassland,,Biodiversity Action Plan Priority Habitats,Calcareous grassland: unimproved,Calcareous grassland: unimproved,B31,Phase 1 Habitat Classification,potentially overlaps with,
Upland calcareous grassland,Upland calcareous grassland,,Biodiversity Action Plan Priority Habitats,Calcareous grassland: semi-improved,Calcareous grassland: semi-improved,B32,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex demissa-Saxifraga aizoides mire,<i>Carex demissa</i>-<i>Saxifraga aizoides</i> mire,M11,National Vegetation Classification,may include,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Dry heath/acid grassland,Dry heath/acid grassland,D5,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex elata swamp,<i>Carex elata</i> swamp,S1,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Sagittaria sagittifolia swamp,<i>Sagittaria sagittifolia</i> swamp,S16,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Acorus calamus swamp,<i>Acorus calamus</i> swamp,S15,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Sparganium erectum swamp,<i>Sparganium erectum</i> swamp,S14,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Typha angustifolia swamp,<i>Typha angustifolia</i> swamp,S13,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Typha latifolia swamp,<i>Typha latifolia</i> swamp,S12,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex vesicaria swamp,<i>Carex vesicaria</i> swamp,S11,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Equisetum fluviatile swamp,<i>Equisetum fluviatile</i> swamp,S10,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex rostrata swamp,<i>Carex rostrata</i> swamp,S9,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Scirpus lacustris ssp. lacustris swamp,<i>Scirpus lacustris</i> ssp. <i>lacustris</i> swamp,S8,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex acutiformis swamp,<i>Carex acutiformis</i> swamp,S7,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex riparia swamp,<i>Carex riparia</i> swamp,S6,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Glyceria maxima swamp,<i>Glyceria maxima</i> swamp,S5,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Phragmites australis swamp and reed-beds,<i>Phragmites australis</i> swamp and reed-beds,S4,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex rostrata-Calliergon cuspidatum/giganteum mire,<i>Carex rostrata</i>-<i>Calliergon cuspidatum</i>/<I>giganteum</I> mire,M9,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Narthecium ossifragum-Sphagnum papillosum valley mire,<i>Narthecium ossifragum</i>-<i>Sphagnum papillosum</i> valley mire,M21,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex saxatilis mire,<i>Carex saxatilis</i> mire,M12,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Schoenus nigricans-Juncus subnodulosus mire,<i>Schoenus nigricans</i>-<i>Juncus subnodulosus</i> mire,M13,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Schoenus nigricans-Narthecium ossifragum mire,<i>Schoenus nigricans</i>-<i>Narthecium ossifragum</i> mire,M14,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Erica tetralix-Sphagnum papillosum raised and blanket mire,<i>Erica tetralix</i>-<i>Sphagnum papillosum</i> raised and blanket mire,M18,National Vegetation Classification,may include,
Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,Sub-Atlantic Pteridium aquilinum fields,Sub-Atlantic <i>Pteridium aquilinum</i> fields,E5.31,EUNIS Classification,overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex paniculata swamp,<i>Carex paniculata</i> swamp,S3,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Eriophorum vaginatum blanket and raised mire,<i>Eriophorum vaginatum</i> blanket and raised mire,M20,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Cladium mariscus swamp and sedge-beds,<i>Cladium mariscus</i> swamp and sedge-beds,S2,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Molinia caerulea-Cirsium dissectum fen-meadow,<i>Molinia caerulea</i>-<i>Cirsium dissectum</i> fen-meadow,M24,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Molinia caerulea-Potentilla erecta mire,<i>Molinia caerulea</i>-<i>Potentilla erecta</i> mire,M25,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Molinia caerulea-Crepis paludosa mire,<i>Molinia caerulea</i>-<i>Crepis paludosa</i> mire,M26,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Filipendula ulmaria-Angelica sylvestris mire,<i>Filipendula ulmaria</i>-<i>Angelica sylvestris</i> mire,M27,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Iris pseudacorus-Filipendula ulmaria mire,<i>Iris pseudacorus</i>-<i>Filipendula ulmaria</i> mire,M28,National Vegetation Classification,may include,
Upland heathland,Upland heathland,,Biodiversity Action Plan Priority Habitats,Wet dwarf shrub heath,Wet dwarf shrub heath,D2,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris-Eriophorum vaginatum blanket mire,<i>Calluna vulgaris</i>-<i>Eriophorum vaginatum</i> blanket mire,M19,National Vegetation Classification,may include,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Molinia caerulea-Crepis paludosa mire,<i>Molinia caerulea</i>-<i>Crepis paludosa</i> mire,M26,National Vegetation Classification,may include,
Upland heathland,Upland heathland,,Biodiversity Action Plan Priority Habitats,Wet heath/acid grassland,Wet heath/acid grassland,D6,Phase 1 Habitat Classification,potentially overlaps with,
Blanket bog,Blanket bog,,Biodiversity Action Plan Priority Habitats,Bog: blanket,Bog: blanket,E161,Phase 1 Habitat Classification,potentially overlaps with,
Chalk rivers,Chalk rivers,,Biodiversity Action Plan Priority Habitats,"Permanent non-tidal, smooth-flowing watercourses","Permanent non-tidal, smooth-flowing watercourses",C2.3,EUNIS Classification,overlaps with,
Chalk rivers,Chalk rivers,,Biodiversity Action Plan Priority Habitats,Lime-rich oligotrophic vegetation of fast-flowing streams,Lime-rich oligotrophic vegetation of fast-flowing streams,C2.26,EUNIS Classification,overlaps with,
Chalk rivers,Chalk rivers,,Biodiversity Action Plan Priority Habitats,Lime-rich oligotrophic vegetation of spring brooks,Lime-rich oligotrophic vegetation of spring brooks,C2.19,EUNIS Classification,overlaps with,
Chalk rivers,Chalk rivers,,Biodiversity Action Plan Priority Habitats,Ranunculus aquatilis community,<i>Ranunculus aquatilis</i> community,A19,National Vegetation Classification,may include,
Chalk rivers,Chalk rivers,,Biodiversity Action Plan Priority Habitats,Callitriche stagnalis community,<i>Callitriche stagnalis</i> community,A16,National Vegetation Classification,may include,
Chalk rivers,Chalk rivers,,Biodiversity Action Plan Priority Habitats,Ranunculus peltatus community,<i>Ranunculus peltatus</i> community,A20,National Vegetation Classification,may include,
Chalk rivers,Chalk rivers,,Biodiversity Action Plan Priority Habitats,Ranunculus penicillatus ssp. pseudofluitans community,<i>Ranunculus penicillatus</i> ssp. <i>pseudofluitans</i> community,A17,National Vegetation Classification,may include,
Chalk rivers,Chalk rivers,,Biodiversity Action Plan Priority Habitats,Running water: mesotrophic,Running water: mesotrophic,G22,Phase 1 Habitat Classification,potentially overlaps with,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Fraxinus excelsior-Sorbus aucuparia-Mercurialis perennis woo,<i>Fraxinus excelsior</i>-<i>Sorbus aucuparia</i>-<i>Mercurialis perennis</i> woodland,W9,National Vegetation Classification,may include,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,may include,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,may include,
Blanket bog,Blanket bog,,Biodiversity Action Plan Priority Habitats,Bog: dry modified,Bog: dry modified,E18,Phase 1 Habitat Classification,potentially overlaps with,
Ancient and/or species rich hedgerows,Ancient and/or species rich hedgerows,,Biodiversity Action Plan Priority Habitats,Ulex europaeus-Rubus fruticosus scrub,<i>Ulex europaeus</i>-<i>Rubus fruticosus</i> scrub,W23,National Vegetation Classification,may overlap with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Arrhenatherum elatius grassland,<i>Arrhenatherum elatius</i> grassland,MG1,National Vegetation Classification,may include,
Ancient and/or species rich hedgerows,Ancient and/or species rich hedgerows,,Biodiversity Action Plan Priority Habitats,"Boundaries: intact hedge, species-rich","Boundaries: intact hedge, species-rich",J211,Phase 1 Habitat Classification,potentially overlaps with,
Ancient and/or species rich hedgerows,Ancient and/or species rich hedgerows,,Biodiversity Action Plan Priority Habitats,"Boundaries: defunct hedge, species-rich","Boundaries: defunct hedge, species-rich",J221,Phase 1 Habitat Classification,potentially overlaps with,
Ancient and/or species rich hedgerows,Ancient and/or species rich hedgerows,,Biodiversity Action Plan Priority Habitats,"Boundaries: hedge with trees, species-poor","Boundaries: hedge with trees, species-poor",J232,Phase 1 Habitat Classification,potentially overlaps with,
Ancient and/or species rich hedgerows,Ancient and/or species rich hedgerows,,Biodiversity Action Plan Priority Habitats,"Boundaries: hedge with trees, species-rich","Boundaries: hedge with trees, species-rich",J231,Phase 1 Habitat Classification,potentially overlaps with,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Gymnocarpium robertianum-Arrhenatherum elatius community,<i>Gymnocarpium robertianum</i>-<i>Arrhenatherum elatius</i> community,OV38,National Vegetation Classification,may include,
Ancient and/or species rich hedgerows,Ancient and/or species rich hedgerows,,Biodiversity Action Plan Priority Habitats,Prunus spinosa-Rubus fruticosus scrub,<i>Prunus spinosa</i>-<i>Rubus fruticosus</i> scrub,W22,National Vegetation Classification,may overlap with,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Filipendula ulmaria-Angelica sylvestris mire,<i>Filipendula ulmaria</i>-<i>Angelica sylvestris</i> mire,M27,National Vegetation Classification,may include,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Natural rock exposure: limestone pavement,Natural rock exposure: limestone pavement,I13,Phase 1 Habitat Classification,potentially overlaps with,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Sesleria albicans-Galium sterneri grassland,<i>Sesleria albicans</i>-<i>Galium sterneri</i> grassland,CG9,National Vegetation Classification,may include,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Festuca ovina - Agrostis capillaris-Thymus praecox grassland,<i>Festuca ovina</i>-<i>Agrostis capillaris</i>-<i>Thymus praecox</i> grassland,CG10,National Vegetation Classification,may include,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Dryas octopetala - Carex flacca heath,<i>Dryas octopetala</i>-<i>Carex flacca</i> heath,CG13,National Vegetation Classification,may include,
Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,Carex dioica-Pinguicula vulgaris mire,<i>Carex dioica</i>-<i>Pinguicula vulgaris</i> mire,M10,National Vegetation Classification,may include,
Lowland raised bog,Lowland raised bog,,Biodiversity Action Plan Priority Habitats,Bog: raised,Bog: raised,E162,Phase 1 Habitat Classification,potentially overlaps with,
Ancient and/or species rich hedgerows,Ancient and/or species rich hedgerows,,Biodiversity Action Plan Priority Habitats,Crataegus monogyna-Hedera helix scrub,<i>Crataegus monogyna</i>-<i>Hedera helix</i> scrub,W21,National Vegetation Classification,may overlap with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,may include,
Upland heathland,Upland heathland,,Biodiversity Action Plan Priority Habitats,Dry dwarf shrub heath,Dry dwarf shrub heath,D1,Phase 1 Habitat Classification,potentially overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Dry heaths,Dry heaths,F4.2,EUNIS Classification,overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Southern wet heaths,Southern wet heaths,F4.12,EUNIS Classification,overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Northern wet heaths,Northern wet heaths,F4.11,EUNIS Classification,overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Erica tetralix-Sphagnum compactum wet heath,<i>Erica tetralix</i>-<i>Sphagnum compactum</i> wet heath,M16,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Scirpus cespitosus-Erica tetralix wet heath,<i>Scirpus cespitosus</i>-<i>Erica tetralix</i> wet heath,M15,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris-Vaccinium myrtillus-Sphagnum capillifolium,<i>Calluna vulgaris</i>-<i>Vaccinium myrtillus</i>-<i>Sphagnum capillifolium</i> heath,H21,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris - Vaccinium myrtillus heath,<i>Calluna vulgaris</i>-<i>Vaccinium myrtillus</i> heath,H12,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris - Carex arenaria heath,<i>Calluna vulgaris</i>-<i>Carex arenaria</i> heath,H11,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris - Erica cinerea heath,<i>Calluna vulgaris</i>-<i>Erica cinerea</i> heath,H10,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris - Deschampsia flexuosa heath,<i>Calluna vulgaris</i>-<i>Deschampsia flexuosa</i> heath,H9,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris - Ulex gallii heath,<i>Calluna vulgaris</i>-<i>Ulex gallii</i> heath,H8,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris - Scilla verna heath,<i>Calluna vulgaris</i>-<i>Scilla verna</i> heath,H7,National Vegetation Classification,may include,
Blanket bog,Blanket bog,,Biodiversity Action Plan Priority Habitats,Bog: wet modified,Bog: wet modified,E17,Phase 1 Habitat Classification,potentially overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Wet heath/acid grassland,Wet heath/acid grassland,D6,Phase 1 Habitat Classification,potentially overlaps with,
Lowland raised bog,Lowland raised bog,,Biodiversity Action Plan Priority Habitats,Bog: wet modified,Bog: wet modified,E17,Phase 1 Habitat Classification,potentially overlaps with,
Lowland raised bog,Lowland raised bog,,Biodiversity Action Plan Priority Habitats,Bog: dry modified,Bog: dry modified,E18,Phase 1 Habitat Classification,potentially overlaps with,
Lowland raised bog,Lowland raised bog,,Biodiversity Action Plan Priority Habitats,Scirpus cespitosus-Eriophorum vaginatum blanket mire,<i>Scirpus cespitosus</i>-<i>Eriophorum vaginatum</i> blanket mire,M17,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Dry dwarf shrub heath,Dry dwarf shrub heath,D1,Phase 1 Habitat Classification,potentially overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Wet dwarf shrub heath,Wet dwarf shrub heath,D2,Phase 1 Habitat Classification,potentially overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Erica vagans - Ulex europaeus heath,<i>Erica vagans</i>-<i>Ulex europaeus</i> heath,H6,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Dry heath/acid grassland,Dry heath/acid grassland,D5,Phase 1 Habitat Classification,potentially overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Erica vagans - Schoenus nigricans heath,<i>Erica vagans</i>-<i>Schoenus nigricans</i> heath,H5,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Sand-dune: dune heath,Sand-dune: dune heath,H66,Phase 1 Habitat Classification,potentially overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Maritime cliff and slope: coastal heathland,Maritime cliff and slope: coastal heathland,H85,Phase 1 Habitat Classification,potentially overlaps with,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris - Festuca ovina heath,<i>Calluna vulgaris</i>-<i>Festuca ovina</i> heath,H1,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Calluna vulgaris - Ulex minor heath,<i>Calluna vulgaris</i>-<i>Ulex minor</i> heath,H2,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Ulex minor - Agrostis curtisii heath,<i>Ulex minor</i>-<i>Agrostis curtisii</i> heath,H3,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Eleocharis palustris swamp,<i>Eleocharis palustris</i> swamp,S19,National Vegetation Classification,may include,
Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,Lichen/bryophyte heath,Lichen/bryophyte heath,D3,Phase 1 Habitat Classification,potentially overlaps with,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Ceratophyllum submersum community,<i>Ceratophyllum submersum</i> community,A6,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex pseudocyperus swamp,<i>Carex pseudocyperus</i> swamp,S17,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Potamogeton perfoliatus-Myriophyllum alterniflorum community,<i>Potamogeton perfoliatus</i>-<i>Myriophyllum alterniflorum</i> community,A13,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Nuphar lutea community,<i>Nuphar lutea</i> community,A8,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Lemna minor community,<i>Lemna minor</i> community,A2,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Standing water: mesotrophic,Standing water: mesotrophic,G12,Phase 1 Habitat Classification,potentially overlaps with,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,"Widespread, mostly moderately large, base-rich lowland lakes","Widespread, mostly moderately large, base-rich lowland lakes, with <i>Chara</i> spp., <i>Myriophyllum spicatum</i> and a diversity of <i>Potamogeton</i> species",I,Vegetation communities of British lakes,overlaps with,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,"Central and eastern, above neutral, lowland lakes","Central and eastern, above neutral, lowland lakes, with <i>Lemna minor</i>, <i>Elodea canadensis</i>, <i>Potamogeton natans</i> and <i>Persicaria amphibia</i>",G,Vegetation communities of British lakes,overlaps with,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Scirpus maritimus swamp,<i>Scirpus maritimus</i> swamp,S21,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Sparganium erectum swamp,<i>Sparganium erectum</i> swamp,S14,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Typha angustifolia swamp,<i>Typha angustifolia</i> swamp,S13,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Carex riparia swamp,<i>Carex riparia</i> swamp,S6,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Glyceria maxima swamp,<i>Glyceria maxima</i> swamp,S5,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Phragmites australis swamp and reed-beds,<i>Phragmites australis</i> swamp and reed-beds,S4,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Spirodela polyrhiza - Hydrocharis morsus-ranae community,<i>Spirodela polyrhiza</i>-<i>Hydrocharis morsus-ranae</i> community,A3,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Carex paniculata swamp,<i>Carex paniculata</i> swamp,S3,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Lemna gibba community,<i>Lemna gibba</i> community,A1,National Vegetation Classification,may include,
